,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_min_curve,delta_max_curve
0,75000000000.0,1.5942970308637774,1.531218171449132,1.478189278837223,1.5497247770272677,1.5753766497077732,1.5223336077924423,1.5345315154393246,1.5653892562695437,1.5679801535749611,1.5554811238413004,1.6280553466172694,1.4831963136623803,1.5807469366565852,1.5065847199055773,1.489735520355151,1.6154619877023706,1.472500053382223,1.5108001997786378,1.5312872476272128,1.5669200711802431,1.5809553543001373,1.5677474504935418,1.589508977765385,1.5466091406683304,1.5895382687056512,1.519942149067408,1.5979795700845252,1.587663912868162,1.5583471286637156,1.6111521983519792,1.5414864648108735,1.539985821378101,1.5831450090460975,1.5869589881090767,1.5671012804114286,1.5480617780934027,1.5261769890273353,1.6174947780090627,1.6275493090257416,1.577160825893304,1.5071926455942952,1.5447584954990943,1.5592964203674367,1.5492516531395524,1.5028733816007105,1.5686987574249731,1.5604561907998729,1.5230956480700393,1.5901876511020139,1.5392190488954223,1.5895382687056512,1.5807469366565852
1,76250000000.0,1.5369494880681547,1.495745473285984,1.5367816712361981,1.545509592926335,1.6120711790515396,1.5816157081765578,1.4927772303483309,1.5681935559542686,1.5281256807507755,1.4783613911139268,1.5783504249760545,1.6211436858203643,1.5847869534994363,1.511197513805981,1.5602113443827401,1.482116938571354,1.5664157856542023,1.553983162759864,1.6109913500995323,1.5481030507411924,1.5842242828371362,1.5077911798373782,1.5118156100735372,1.523328730126134,1.5047867439827345,1.582750632870808,1.5337299693880972,1.592071923595362,1.6020306842315428,1.587420583422768,1.498596736756527,1.5650491544434593,1.553693250156798,1.6168104589168235,1.6095496173775385,1.6160377633421132,1.4885129806512694,1.5924737259017248,1.6154667561900755,1.5960694207845354,1.5131779977301638,1.5154182168423826,1.6184010413114938,1.5119058643620713,1.6135776842784464,1.4845460818650205,1.552160192701629,1.5744217561312877,1.5443739517977335,1.5261160955179918,1.5047867439827345,1.5847869534994363
2,77500000000.0,1.5830630494004632,1.6091374946498027,1.5308654651258795,1.511551516177605,1.5174963769172642,1.5721260815584137,1.5089481013470938,1.528872880687347,1.5839317816472498,1.6347507012163895,1.6174946633325953,1.663974675725393,1.5616977212266006,1.5647702586159917,1.5788497897910427,1.651171576151142,1.5527733647911268,1.5522184228869458,1.6114678847561756,1.544841186555295,1.6253461325045042,1.5334345944696106,1.627555642990687,1.6246607839290899,1.5651371525423212,1.5966060975272411,1.6086456384289134,1.6061944351457305,1.4967976322922352,1.570550294363482,1.5637484364455825,1.5693114805923511,1.6209551686733603,1.5143116733042241,1.5700170242419011,1.5973304058638202,1.542111518776914,1.606644883024973,1.508657029434303,1.5568225339504222,1.6294786294635204,1.6269124208729833,1.5501356680399494,1.5674933069562913,1.4724788360099428,1.6438113417888267,1.4968541291170094,1.5736811278298246,1.5997414089659063,1.6062613355856894,1.5651371525423212,1.5616977212266006
3,78750000000.0,1.5266596453996297,1.5186122166378024,1.5422684589583615,1.558415133120917,1.513116123465261,1.5220223899146699,1.572757745678224,1.4925361044490835,1.6161286493955624,1.561743433288868,1.5160537476470024,1.627380841103602,1.5864419421659948,1.5486147612769512,1.6141119981878957,1.6278584815768316,1.549385543660816,1.5582218505317045,1.6705838182447568,1.6497604463766056,1.602430031361395,1.5527494984721804,1.5823308250769585,1.5236452182730151,1.586563611975069,1.598134353737521,1.551194302579772,1.6328557210838923,1.580120144429715,1.500661117330633,1.5044834963668052,1.6204017440240959,1.6112861635381195,1.5367885117621656,1.5717748382368804,1.5418669383364256,1.6037860408259759,1.6266431614259362,1.570580034963205,1.5951121493874107,1.6189967078592962,1.5780701080514048,1.5988944279640311,1.6379479722241657,1.5798869590439413,1.5551308655711555,1.611961525380711,1.6745050500249363,1.6240709931672603,1.5125837508306452,1.586563611975069,1.5864419421659948
4,80000000000.0,1.6126158114062958,1.5844011495643293,1.5835478881079053,1.5519925226766078,1.6202182897073947,1.5567824567373563,1.539238654154828,1.6213076715893897,1.5873572005790968,1.5688189578459881,1.599809580804391,1.5962118313709739,1.5481858164398514,1.5998479310643186,1.5073406802253841,1.5435597178733351,1.549303695758709,1.5755617342903836,1.583109110052044,1.6079618113918441,1.6182296067993207,1.5246248380036866,1.561071289111794,1.5809187517038672,1.5730346249198333,1.5714778739638335,1.6512659694294085,1.5553661775046446,1.6361149198807545,1.6305011233196762,1.639986700291775,1.543381089937538,1.5618516754996636,1.6420353014180145,1.6134949737413251,1.5744435255683105,1.5500341853174022,1.5898700963828503,1.5117637312589673,1.6403307798515463,1.5867284912071153,1.5206324787477257,1.6444924475296743,1.5208190324529718,1.5655193380427828,1.5617507886907747,1.5277813573328514,1.6454550259244833,1.6083118166945216,1.6354958325521016,1.5730346249198333,1.5481858164398514
5,81250000000.0,1.5348247856500088,1.5790214910753095,1.6714265514313964,1.5683177720764239,1.5876832606387763,1.560494399770736,1.5940911759619016,1.6146193706975132,1.5626633037028455,1.5464454278036615,1.5071038763235105,1.5315475297935983,1.5945530561775236,1.612945447808692,1.6010569363182914,1.548715521603447,1.562663673387437,1.5894938685221305,1.5948182338666061,1.5785852126838535,1.5797382338708021,1.6621357169055304,1.6057317376512423,1.5073943281831947,1.615758853321974,1.531480325673601,1.5531880761244314,1.5884229453290915,1.6167662504932685,1.6617759778791967,1.5217692991506484,1.6017809394019198,1.6008379367124423,1.628390254019133,1.5690579929127588,1.617067416180549,1.653503481497076,1.5762767504285484,1.6341969240330212,1.605199730842451,1.5743814368342584,1.5633031187699333,1.5924409489868196,1.5688371365669243,1.566469221310794,1.5912775576863245,1.5752690521813781,1.5646713442572981,1.5149851724572152,1.534636870247903,1.615758853321974,1.5945530561775236
6,82500000000.0,1.5637004791624407,1.527257383240928,1.6512658752681573,1.5239405360371592,1.5818570895498674,1.5310895986995319,1.6162609190558912,1.565527878250551,1.566797059960839,1.6141462656706078,1.548256575867477,1.5840952370107222,1.589417749753289,1.5857222647368086,1.5618856651236974,1.66766293042654,1.5429058523631554,1.5720683833356226,1.5082094168437825,1.5313776346608314,1.5746806439453298,1.5930118622979255,1.5771930262177996,1.5473472076327643,1.5458899514168967,1.5453539215753795,1.6332255588848859,1.6451798075243735,1.6370238962999069,1.5261922754916513,1.5977893026200376,1.58042786469479,1.667188809799282,1.5811894230398027,1.5887043276559953,1.5503050165014176,1.5542964834677178,1.5583374786025836,1.5789259790086765,1.5036101488595894,1.5261241247454036,1.5952520905813545,1.6603479338977267,1.504875916691302,1.5517037469659172,1.559974931527959,1.5248014537042538,1.4993889724614566,1.5079089154547534,1.58283672991614,1.5458899514168967,1.589417749753289
7,83750000000.0,1.5566504110734685,1.5771278226699856,1.597462511365765,1.6181651709024938,1.5606118809042684,1.4898190707069134,1.5904299721243482,1.612061237419422,1.6161922586336481,1.517712077479195,1.5604378444911213,1.5009138373779785,1.5310182732741977,1.525811920686625,1.57465219621702,1.5783767501593509,1.580862753378515,1.657778399173299,1.5691654462167124,1.4972032335339074,1.5957874119347006,1.6362517152656673,1.5907177619420636,1.5299537901680496,1.4964125442715621,1.6039126177358634,1.5458657473653088,1.5905055204031497,1.5166587371703721,1.5472830504078865,1.6197220397433831,1.4874179796102274,1.649189658377152,1.5853620653406442,1.6486940617162906,1.6298451126194076,1.4644229430088156,1.5798916880502945,1.5059183890391954,1.5740100624657898,1.5574412669008484,1.5910207692288467,1.5979315562079954,1.6675078117063997,1.572910874564546,1.614485092666267,1.585097556298355,1.5583257267605526,1.4886445322579078,1.5230693973814586,1.4964125442715621,1.5310182732741977
8,85000000000.0,1.5816083084668306,1.605199277123962,1.589339106124909,1.6107328573457529,1.5885129212998546,1.5286670640237985,1.624473916353768,1.5763585288640118,1.4838349292338777,1.4983348528728806,1.6283224694465404,1.5844232952212078,1.5803533998178614,1.5242843194353806,1.5719692361577824,1.50032537965601,1.6277547071779823,1.6184139457986755,1.6272701498358844,1.6023260112814979,1.4963293382474763,1.5561405249461806,1.5118031608865083,1.4687837991572312,1.4998563552986721,1.6118662218274018,1.6347218402054018,1.4997669022136968,1.5876230063807706,1.5542353632295112,1.5400178041566768,1.6096933446909785,1.6457474486852048,1.6468220494352301,1.579746699350184,1.6167614676205961,1.5642220462209189,1.609661953223045,1.6398221246520321,1.515369289016132,1.5547812878174312,1.6430682044530822,1.6233809687570742,1.5770774818422981,1.5813613753427207,1.477780746024966,1.60425693981129,1.5045307548055527,1.6086897754124516,1.6398892574952546,1.4998563552986721,1.5803533998178614
9,86250000000.0,1.5047831120792647,1.5004339263541286,1.5560570858350036,1.549200157836561,1.5766244523065849,1.578149916110217,1.5488676154997736,1.628332810842187,1.6589153830997385,1.5856217559331387,1.6086733926027497,1.6415983842427357,1.6258098853671907,1.5460550527755905,1.5136513824064943,1.5466359819058537,1.5822843513191407,1.5012178250622659,1.6161121861173013,1.609039117182526,1.587200021855251,1.6060962846117615,1.6051635432148348,1.556566540588333,1.5441763730490452,1.5538408254181721,1.5329930553992503,1.4961341914438289,1.5556404515010032,1.6191912060515594,1.5767891072711044,1.6686740313344886,1.475929001306084,1.5506635315427677,1.5983229409784938,1.6219704553411134,1.535031181180321,1.6702348148032071,1.6163749303698522,1.6467505435158158,1.5149157608529025,1.596343204745244,1.5909526998329804,1.5335158863174991,1.558762509169642,1.5495303744246811,1.5867738030480651,1.6081013920426754,1.569125826991475,1.5431832124016154,1.5441763730490452,1.6258098853671907
