,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_min_curve,delta_max_curve
0,75000000000.0,1.5808828343837642,1.5763652010936051,1.551425382757707,1.5209249438749337,1.5809113965054749,1.5659330620271308,1.5415640425919148,1.5803900493735348,1.5041408566726922,1.5201631337125405,1.5320854363153769,1.515952264825581,1.5654843271730903,1.5621176236918164,1.556727591400764,1.5138470780804332,1.558428446002603,1.5428998813859216,1.4784340876656115,1.578580643215115,1.4881051671409062,1.543722397587025,1.5809040301130326,1.4859190158157456,1.5469664585830742,1.5699556826526304,1.4943985758678662,1.5400703108801859,1.5342560127470275,1.571785119703062,1.5401840775749858,1.4822482458390311,1.5056702991210482,1.5760395220224148,1.5746445424930913,1.5591512448398201,1.5066834121852628,1.5630555804119972,1.5177743383483548,1.5176213173351334,1.5745833487204304,1.5612614851221702,1.577945617417212,1.578783450146566,1.4903464083020659,1.5527001840965977,1.5494729839800057,1.4791886986222673,1.5751016725963312,1.5010546329123615,1.578580643215115,1.5751016725963312
1,76250000000.0,1.5495018885017309,1.4961095148116912,1.5833974528804489,1.5587483309164636,1.5301567791455934,1.5426200400963979,1.4888941513539,1.577946939520125,1.4899436171048388,1.5825090199015335,1.541776787041122,1.583789517652331,1.5250808525745136,1.5354633814626744,1.5783208055321085,1.5845692563411669,1.5685433429025581,1.5068931819546083,1.5577250183229954,1.577908142637537,1.56535318153329,1.5436061760828026,1.5844229312378915,1.5083436600919522,1.517392624096023,1.5609579596550454,1.5792440263569925,1.5108154693795526,1.4917885369256358,1.5542448347163633,1.5743739600450062,1.5076462817116407,1.4773369387116888,1.5844318649252438,1.5632673480934005,1.5387703712677236,1.523386893432385,1.5128213150979735,1.5813203564404323,1.5700226015096104,1.5738917006334916,1.5093223275869188,1.5662985305812236,1.5583092742108748,1.5750504496032276,1.5771522410312995,1.5838457521499356,1.5837365973787652,1.5578392473749298,1.536842169896096,1.577908142637537,1.5578392473749298
2,77500000000.0,1.5863634647053049,1.6072100555436981,1.5973869550387483,1.600017386260107,1.5598832663107962,1.5587202383114187,1.6009025570770032,1.6091623618914923,1.5827978175423314,1.5368175872808811,1.584290771283994,1.5248912128397536,1.6075523526191922,1.6076938940750314,1.4960958213342828,1.6028176183967218,1.5719686047476742,1.5694469978472985,1.484127624152957,1.5975272195117605,1.5030903414985857,1.5080981911576423,1.5717684208092042,1.4818814357906358,1.5712153305012124,1.4875856424022513,1.4946165736966313,1.6081770651756557,1.5797151290809017,1.5318769481536125,1.5887448903853283,1.5939468168490722,1.5628468090622534,1.5837748564721494,1.5307528120504432,1.5835126628809444,1.6098713079030487,1.6060279352255447,1.5102232974154906,1.532459689988964,1.5142792821152267,1.5970552771507402,1.4995180066642333,1.56474725382998,1.5389864425546667,1.5717404161109567,1.609589176780463,1.5972082269978924,1.607568820470588,1.567628641947179,1.5975272195117605,1.607568820470588
3,78750000000.0,1.6091965153420804,1.5444112964379786,1.5819173031063485,1.6028500389643194,1.5917074045768604,1.6136185347368914,1.521484493164786,1.5739309859286752,1.550474298771314,1.6033622211751595,1.5011758524326944,1.602011775017393,1.6127630895918443,1.5725196638843286,1.6044332659083635,1.5348876571386258,1.5988579816463508,1.6047186760823828,1.612670189530364,1.4929527107404268,1.5379301158702812,1.5605863156478958,1.5730275808211671,1.4897492233472636,1.5235164744411462,1.5629315849022511,1.5899364755391472,1.5459271656113687,1.6068406839672136,1.5502682406297843,1.5488403966724777,1.6066792901508538,1.5546720655514408,1.609781880935497,1.5833882784271585,1.5031435947394032,1.593157806873241,1.5056307713188262,1.5683013273470816,1.6053992636034542,1.5845201548604222,1.5508169806712042,1.5821311557560649,1.4904872185380749,1.595053504592439,1.5707556345644655,1.5294767834545302,1.6009537539907128,1.552857068595653,1.6117712675085945,1.4929527107404268,1.552857068595653
4,80000000000.0,1.6197223360091135,1.5735244756106386,1.5350741091738915,1.6185259454491643,1.6041873879707353,1.6196864613751685,1.6086612706552081,1.6005384836922159,1.615782759180076,1.6101027743503002,1.5570268203660285,1.5398002463154485,1.5407288422294683,1.5517977844135247,1.5880383581484683,1.5852857586088904,1.5627991171223103,1.6126135240920978,1.5079831067630585,1.60900677296874,1.55135164148245,1.580212196430392,1.5425116586801813,1.5517124311519706,1.5568296156843031,1.572394146248689,1.5101160608647697,1.547561209262147,1.600977100346166,1.554864861106267,1.5518571855112568,1.5119265497835568,1.6055244045430066,1.5684602260188127,1.54732329076494,1.5863251148864113,1.5937758155628001,1.536484568251927,1.603141180857398,1.6140914210939499,1.6057999822695874,1.5745679507239894,1.554730517226507,1.5835578361982405,1.5632180989986226,1.555193980156085,1.6064737871573025,1.5856516416578268,1.5731819271055956,1.5479658906232772,1.60900677296874,1.5731819271055956
5,81250000000.0,1.5850277793486278,1.5921529011520437,1.5526165425797671,1.599177884056142,1.536250575198102,1.4997677411751413,1.498752387831127,1.546208675272827,1.6141424358465095,1.5784355813533004,1.5848539300959927,1.5553456714470442,1.5628005840685084,1.6020767989139661,1.5098183846274305,1.6069418951134529,1.608237874455061,1.6053735626935324,1.5353477176821642,1.5445548045780075,1.6107938447430057,1.6117198606066847,1.6078142963133468,1.5050147498739674,1.4982279344699843,1.572782787887284,1.5889619427934336,1.5517218055523758,1.4942559009010823,1.6126719207737692,1.5856182913989445,1.5538810474942106,1.5450095150070358,1.5374075089755834,1.5215711414911108,1.6048091988016098,1.5536157392738827,1.6110378491731137,1.5319116133824062,1.6138574690311704,1.5837837862230182,1.5976639916285154,1.581069401057434,1.510840679414779,1.6103995343692021,1.5914918980124273,1.6115649460877595,1.5241727220003287,1.6101902837684987,1.5502833889486807,1.5445548045780075,1.6101902837684987
6,82500000000.0,1.5826596511646926,1.5789912941347968,1.4840440085747906,1.4980537925537634,1.5643847495704657,1.5112979136234157,1.5824970481389398,1.612091243685415,1.5723937958562104,1.6123437075751206,1.6106638257690917,1.5339114771356281,1.540942796358616,1.5883898307613333,1.593458459814246,1.6040737583957307,1.594610497375095,1.5987526733118806,1.5895575486230487,1.6142744560503974,1.588547872681831,1.5968479581856219,1.6013900178408387,1.5678238751527882,1.5577454523755005,1.4951708793941714,1.6010064499861585,1.495206425242192,1.564996908553043,1.5728152693670039,1.5785765570963142,1.477820770729749,1.4813945471921286,1.6115611614189984,1.6139040614858624,1.5964989131185034,1.5686530997632628,1.5511436423240537,1.5346991615680616,1.559457978650342,1.55893464906388,1.5686618530852525,1.568324256570738,1.5049604621591879,1.6116887679974758,1.5477941155567776,1.476685107452177,1.609775283694422,1.5290667334896533,1.5919497988506748,1.6142744560503974,1.5290667334896533
7,83750000000.0,1.5863125401379654,1.6128653119601553,1.5614499810711195,1.504012012272941,1.622066059400423,1.6153532401518298,1.6160973284013194,1.5137491627122295,1.572107870773048,1.4739154785788586,1.586040213092252,1.5972893704277944,1.5619563535877594,1.5062726328949518,1.4918746104635656,1.5660480348622827,1.611718833020865,1.6161732525637222,1.606388986028519,1.5908575020745084,1.614816596128344,1.6203770722937394,1.5777856330563538,1.5375855224209545,1.594781733152638,1.5659736784400553,1.520766735991204,1.5704106637449318,1.6084500759237108,1.5513057288449759,1.6096092468528738,1.6152376385848886,1.5814195586739224,1.4811337838590357,1.5895552837270412,1.4985799122421364,1.5318890150679159,1.5478694902321057,1.5491827010467698,1.6266016264253234,1.6221591618991547,1.5088851133104049,1.4722390390521727,1.6085747214612767,1.524688869179333,1.5926557143055278,1.5842168228292817,1.6274675924986608,1.6158010433963137,1.6218124472772966,1.5908575020745084,1.6158010433963137
8,85000000000.0,1.5409785250190204,1.5565574080096107,1.636741338176758,1.5095403035685735,1.6145432156917305,1.5725063919529556,1.4753329150225618,1.544745746935747,1.5763425789124237,1.6097670629780412,1.6137829452218877,1.5689618764930375,1.537434836026359,1.4932134346706976,1.548022239431943,1.6288831731310087,1.6055462157681328,1.5828261166957585,1.5476253688052328,1.470290846771348,1.6253560538465988,1.579750960385228,1.531918658741945,1.5432250994342545,1.6253141345626978,1.5787349976494793,1.4854401766569305,1.636903442423727,1.5867109803235708,1.625355066431181,1.5768133058889786,1.5109364333594264,1.62933403597871,1.5780207870542229,1.6215845269374523,1.5681880972706104,1.6182737050402325,1.637763170077565,1.4889831204016997,1.538279011376944,1.522281229911687,1.5851178498787697,1.6047636189515004,1.4825561281988588,1.5638368962740528,1.6337684305292282,1.5078112598116187,1.5350522961147204,1.5740451343840955,1.6284071827412259,1.470290846771348,1.5740451343840955
9,86250000000.0,1.5515029049031432,1.519330676297368,1.4729883642079782,1.620482340119486,1.5682075832551212,1.5226388820015773,1.5500034831024574,1.6181238028290672,1.5471422230123215,1.63093302353999,1.6035911662250033,1.6446088994114285,1.546447178846799,1.6201509116921617,1.641292532441506,1.4769460742856992,1.6384006695388793,1.5333089016587311,1.6326554007990977,1.5076868871338012,1.6445254972555012,1.6310564087402915,1.6361772237287016,1.4973866072892037,1.575796618077552,1.5220968503888097,1.5564865042796652,1.6107698814183269,1.6453555059343759,1.642289701079348,1.4770342314723595,1.6236503897867738,1.5909103725833438,1.492446001034391,1.5203876482535228,1.5472508712279545,1.6109952708313178,1.532489669265318,1.6090837678272996,1.53168586613009,1.5767162150557121,1.5720835487530835,1.6234560403859026,1.6113140639537975,1.4754053945341197,1.6394165073163882,1.5758140144314945,1.522837308986848,1.6127218592852213,1.5399051728522566,1.5076868871338012,1.6127218592852213
