,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_min_curve,delta_max_curve
0,75000000000.0,1.5206344163290577,1.5295940402582842,1.6071482583078458,1.6005145298060663,1.6407122016198143,1.586687531386099,1.4872965459260785,1.5280665201961539,1.5281569130723147,1.5812714229449414,1.574187195952426,1.57266804186441,1.5169619669841643,1.5442604818217023,1.5449732557493516,1.5534995123242383,1.5257381722681382,1.5679115537817292,1.5308344316530194,1.5690757739490464,1.5318504075234771,1.553964043230532,1.5289527620968495,1.556265601333169,1.5837177962536864,1.6181912529156024,1.5529963810536331,1.581605586591708,1.537424435445117,1.5569760200332168,1.597063798350448,1.586131938846783,1.4939915607254521,1.5260874750056486,1.5710833133993019,1.5536647501752763,1.5536150563569955,1.5419476678473865,1.5987710557611918,1.5415516547266117,1.5391671894960237,1.5761804739591432,1.6065546751693853,1.519329258145033,1.5428856175741603,1.60085507791422,1.5829095205159904,1.5579458970141333,1.5936543054074535,1.586520059569786,1.4939915607254521,1.6065546751693853
1,76250000000.0,1.553511499638892,1.5357824373767195,1.5388179593374116,1.4662955714024337,1.5147421137177333,1.5242206371427913,1.5043771406090363,1.5520864547687472,1.608018380290299,1.567883252484418,1.5949704647463965,1.5707133352319567,1.5740692134093552,1.596812203456985,1.5094834597401814,1.5982654475078617,1.572357558939309,1.5478425521706147,1.5769767160283326,1.579618063648362,1.5427740386910986,1.5189525828826635,1.5231105286293765,1.5201891600516757,1.5178336312106815,1.584997632354126,1.533030431272957,1.5775057305328202,1.5679979810346618,1.5163503897637627,1.5764199063540083,1.5436023570506288,1.579714773354395,1.5473473512542382,1.5490138550713928,1.6164654678656212,1.520339747885151,1.5647128112974382,1.6079047146696874,1.5356726033513861,1.5882441749886311,1.5087096497810153,1.5628542829706353,1.5259659082853705,1.5711507957757591,1.537021825102855,1.5709974902783643,1.5096604999423509,1.5720621300275015,1.5184270789203829,1.579714773354395,1.5628542829706353
2,77500000000.0,1.635433816803535,1.5703529431036833,1.537669314827355,1.5374834546237972,1.5086604727398445,1.5718676805454492,1.5835012926618386,1.6024616266423788,1.5443998753665782,1.5343316400581881,1.5348528516632538,1.553904417198176,1.5436386656129024,1.587164321835983,1.5572171564091852,1.5516911544480452,1.5399181015925765,1.5318708949643844,1.598823297776652,1.5399914046442809,1.5809906359072459,1.5947571181012694,1.5253800198706784,1.5885176913194254,1.564797327347763,1.595033027016459,1.6448589576048671,1.5681544047668516,1.5719170429332143,1.5542952399725405,1.5513519800206883,1.5553699101369693,1.5904641032120095,1.5110655332433178,1.5621357499787327,1.6309310892842168,1.532017337974718,1.581558240154194,1.5501465155745695,1.62821836686267,1.5412175121328604,1.5906687454473771,1.6019179191168915,1.5845787993397455,1.6324516293192934,1.563781681792037,1.51589718870331,1.5539279670760435,1.5514666284079253,1.5367005831533531,1.5904641032120095,1.6019179191168915
3,78750000000.0,1.5654066572767964,1.5779420619432962,1.5472638959321556,1.5463677221985241,1.6403308848709628,1.5841307362648531,1.6027716765641735,1.5465822410649532,1.5425254402558841,1.5965321680263824,1.5927004094289543,1.5589045595525362,1.543536142964203,1.5654059031737133,1.5180269794606531,1.5562489029199218,1.5211076611180585,1.6057764632564095,1.512886148515832,1.5522234208141699,1.5861274301504915,1.564469768697732,1.638256395248875,1.57321427068925,1.6259788960714983,1.600064769314975,1.5553182886833008,1.605372053567473,1.5718614125969521,1.5721235651049437,1.5938165786357925,1.5734760195103217,1.532399346081434,1.5785288966641495,1.6116729969249277,1.5934674973586813,1.5758718405142864,1.595748997013173,1.56360151789236,1.617079257979518,1.558693108980106,1.5327091322342714,1.567399598176791,1.5742194949872308,1.5628535691438477,1.5560608523252208,1.5930899481925223,1.5659757385616115,1.52479526263279,1.5683575969010792,1.532399346081434,1.567399598176791
4,80000000000.0,1.5873058915176401,1.5794968011282187,1.5927152752884663,1.5099386502470598,1.537439167982097,1.6202753046594487,1.6264558697455596,1.5251685212348067,1.556834063676972,1.6103427103498766,1.6568578381230625,1.5536656665842399,1.5642508005001927,1.6379688698801622,1.5650329696876952,1.534432240813808,1.5479795992244076,1.548510067583549,1.5435449786611413,1.5770979614186524,1.5762083398887279,1.5907270213151783,1.6248627419458832,1.571384973199311,1.5563130317590466,1.6367816108865476,1.6058518713051386,1.576768015684469,1.5923034054779142,1.5990795706142473,1.6010043201790762,1.5273404767484997,1.5884245816901288,1.634535425481638,1.565455787045964,1.6428543539657912,1.5272451743172162,1.6039412656384027,1.5548850764629458,1.5358885248945375,1.5733471867682522,1.6383114942686305,1.5818518471293097,1.628552137642213,1.5794242895505433,1.5630619699134984,1.5734473711299548,1.614049208668683,1.5899746602266767,1.6040684817552389,1.5884245816901288,1.5818518471293097
5,81250000000.0,1.6271198033941747,1.5953046401539355,1.544100646226484,1.6111805673178894,1.6425185904220787,1.5529789209244655,1.5238503965249444,1.5884190806812315,1.5549264398317193,1.6005778868792477,1.5618750881980281,1.5472222231523705,1.5619736757110183,1.5714394315318359,1.5631946452585344,1.5882639736264557,1.5391228471824956,1.5779471866209096,1.5894821982169893,1.5815210962810529,1.5534135118298935,1.5530105916136812,1.5752950167358246,1.6330387177703416,1.582694929315781,1.596312476252541,1.6004645081048376,1.5935605402089421,1.6018283425091966,1.5653044327773946,1.601234074969756,1.523512592205496,1.529165322438205,1.6704576996848857,1.598163093297015,1.55220569122152,1.5765804123106217,1.5719446519975993,1.5435345442879242,1.611764704606425,1.5832982246592708,1.5353043891472662,1.6571775079899085,1.5927300645432425,1.5779239209801799,1.6300149332796412,1.6088776248999483,1.6155368696079646,1.648524470114119,1.6321250650081767,1.529165322438205,1.6571775079899085
6,82500000000.0,1.579773121188072,1.6043880850531342,1.6036466233850242,1.5297778926604542,1.565939329006435,1.5786982951063346,1.6386848245740326,1.4994965439167458,1.6280182350084902,1.5968234912940773,1.544761490579459,1.598836475072258,1.559158485866126,1.5495450478340356,1.5874623729797126,1.5536436918917969,1.5459293372335667,1.5506758312319546,1.536337668813752,1.5307331178471102,1.5529145507757358,1.5472584782273116,1.581581279098953,1.562857245032819,1.5765670506250422,1.5757012700823638,1.562260585710874,1.5321040737935716,1.5991300028649917,1.5440182882465994,1.575350323938476,1.6070591814790618,1.582767451853207,1.508753482367643,1.5650146774256766,1.5780678897927587,1.5565291687993301,1.5956363545754644,1.5538651139248758,1.6046402260084742,1.5841298798266996,1.5924134762030977,1.6256387234436334,1.6209235228248604,1.5568771312771412,1.6567299619218856,1.578232080348629,1.5689437445650434,1.5855607255301303,1.535028777020335,1.582767451853207,1.6256387234436334
7,83750000000.0,1.5365345081187098,1.5625668801002015,1.5747090087294424,1.5632561538733638,1.653950793126805,1.5739084252993545,1.640174078901186,1.627449521760337,1.6083984985357207,1.5282493805577526,1.5212598114674383,1.6215699783544328,1.6343672941254832,1.551571500099546,1.5568741753376447,1.6077966430589967,1.589874814374565,1.568759632242589,1.5366884859524887,1.569112771092543,1.6449609090692139,1.5734860922051033,1.5330981133903707,1.615308350506238,1.5668759878839218,1.5878861324224591,1.5851802388118041,1.5602410104846518,1.5149585431902102,1.534052861188821,1.6279726998545907,1.5813423165746312,1.5376106570391568,1.64373997055547,1.56527601204978,1.6164987205937922,1.5477827619661229,1.5077917026748369,1.6059800200745642,1.5945899101815701,1.591231210386834,1.6097743546043215,1.5879575965818373,1.552440587187539,1.610533279887581,1.5977613842881122,1.5681804867152693,1.5530989642862567,1.5507539641180754,1.52806240812483,1.5376106570391568,1.5879575965818373
8,85000000000.0,1.538924902461041,1.5543705269589367,1.6115634713218785,1.6104108271820385,1.5699541245303106,1.6052931964455266,1.568757357649294,1.548896682243555,1.5334384653258843,1.5549840897678424,1.6225246229359604,1.5156235068264046,1.545033038844391,1.5966958986617201,1.5212726026391488,1.5692320065284242,1.564781778492552,1.5556164444557519,1.6029228696163538,1.6230526214637753,1.5571092457761349,1.5745056473997434,1.6234869327737251,1.5557322570140824,1.5785881221372307,1.5056881892944407,1.6005573884433042,1.5748988496930079,1.5949283568274997,1.5936958584647754,1.6115819699186325,1.5636182130309904,1.5740870935723899,1.6134430325121736,1.6231825879364505,1.5957279564444655,1.5865384226715564,1.610277645961493,1.532931732512616,1.622835594490048,1.6097644371239086,1.5197071329882264,1.5805209042559871,1.5632878295889878,1.58479293976361,1.5613541932126869,1.6315249783911308,1.6449934868621146,1.4879243852372013,1.5409693880184288,1.5740870935723899,1.5805209042559871
9,86250000000.0,1.6062937436519145,1.563520515443758,1.5547977850059354,1.5879207038223064,1.5636661263605023,1.6311834533278404,1.5566769029595557,1.5557988113371082,1.577698994375599,1.5067096352099638,1.5485269526964718,1.5393023524053502,1.577392143137895,1.5842001641283623,1.583871611900165,1.6195020738530497,1.5444549427646834,1.6365178050135818,1.6372454900576399,1.616843523078333,1.5508114526306227,1.5565188462988782,1.5724693642183591,1.638981204506779,1.5157629056104713,1.6250919941819377,1.6277097815124364,1.658587692860144,1.5256023529548726,1.6128804541203183,1.5671809434557697,1.5079848613855527,1.6001360338665465,1.6363128544113208,1.5612364164467911,1.5039119699117975,1.5488076328310019,1.5373216897826432,1.5478623887729077,1.6238032105934175,1.4991590814322608,1.5656637865430345,1.608424557451836,1.5902409674017992,1.612767844374296,1.602256111748799,1.5065482386921532,1.5752754199395163,1.5476761845939964,1.5520186417368171,1.6001360338665465,1.608424557451836
