,freq,n_s,n_p
0,75000000000.0,1.2019889298649653,1.292034898668528
1,75025000000.0,1.2018372346170996,1.2917214966312645
2,75050000000.0,1.2016928918817211,1.2914231395772688
3,75075000000.0,1.2015558848877939,1.291139768059328
4,75100000000.0,1.2014261884533124,1.2908713069233588
5,75125000000.0,1.2013037690428912,1.2906176654536727
6,75150000000.0,1.2011885848342594,1.290378737529506
7,75175000000.0,1.201080585806871,1.2901544018195144
8,75200000000.0,1.200979713842177,1.2899445219932386
9,75225000000.0,1.200885902848289,1.2897489469753103
10,75250000000.0,1.2007990788940586,1.2895675112123814
11,75275000000.0,1.2007191603593232,1.2894000349665844
12,75300000000.0,1.2006460581038114,1.2892463246407586
13,75325000000.0,1.2005796756513918,1.2891061731290063
14,75350000000.0,1.200519909381186,1.288979360175843
15,75375000000.0,1.2004666487410989,1.2888656527755054
16,75400000000.0,1.200419776469062,1.288764805582195
17,75425000000.0,1.200379168827864,1.2886765613434183
18,75450000000.0,1.2003446958510013,1.2886006513516406
19,75475000000.0,1.2003162215986605,1.2885367959128484
20,75500000000.0,1.200293604428202,1.2884847048411896
21,75525000000.0,1.2002766972657368,1.2884440779531747
22,75550000000.0,1.200265347893136,1.2884146055906411
23,75575000000.0,1.2002593992384398,1.2883959691487195
24,75600000000.0,1.2002586896766445,1.2883878416232346
25,75625000000.0,1.2002630533336225,1.288389888163384
26,75650000000.0,1.2002723203938288,1.2884017666314238
27,75675000000.0,1.2002863174183576,1.2884231281828993
28,75700000000.0,1.2003048676574573,1.2884536178359227
29,75725000000.0,1.2003277913764017,1.288492875067763
30,75750000000.0,1.2003549061733305,1.2885405343961904
31,75775000000.0,1.2003860273035676,1.2885962259750054
32,75800000000.0,1.2004209680032003,1.2886595761895745
33,75825000000.0,1.2004595398133802,1.2887302082555911
34,75850000000.0,1.2005015529015974,1.288807742813805
35,75875000000.0,1.2005468163810387,1.2888917985231687
36,75900000000.0,1.2005951386295766,1.2889819926557344
37,75925000000.0,1.200646327603591,1.289077941683853
38,75950000000.0,1.2007001911507922,1.2891792618681885
39,75975000000.0,1.2007565373128168,1.2892855698281884
40,76000000000.0,1.200815174632649,1.2893964831252964
41,76025000000.0,1.2008759124468744,1.2895116208188928
42,76050000000.0,1.2009385611793137,1.289630604028211
43,76075000000.0,1.201002932621844,1.2897530564717843
44,76100000000.0,1.2010688402156873,1.2898786050110898
45,76125000000.0,1.2011360993211948,1.290006880174341
46,76150000000.0,1.201204527479933,1.2901375166680233
47,76175000000.0,1.2012739446714056,1.2902701538808243
48,76200000000.0,1.2013441735594625,1.290404436369913
49,76225000000.0,1.2014150397313137,1.2905400143353563
50,76250000000.0,1.2014863719302702,1.290676544084808
51,76275000000.0,1.201558002272694,1.2908136884692059
52,76300000000.0,1.2016297664671627,1.29095111732554
53,76325000000.0,1.201701504012037,1.2910885078786507
54,76350000000.0,1.2017730583938113,1.2912255451469075
55,76375000000.0,1.2018442772678704,1.2913619223146129
56,76400000000.0,1.2019150126399825,1.2914973411078468
57,76425000000.0,1.2019851210262678,1.2916315121287532
58,76450000000.0,1.202054463610048,1.291764155185116
59,76475000000.0,1.2021229063931087,1.291894999610068
60,76500000000.0,1.2021903203249666,1.2920237845386935
61,76525000000.0,1.202256581436333,1.2921502591940621
62,76550000000.0,1.202321570951609,1.2922741831318207
63,76575000000.0,1.2023851753974215,1.2923953264774024
64,76600000000.0,1.202447286701766,1.2925134701447174
65,76625000000.0,1.2025078022772746,1.2926284060230704
66,76650000000.0,1.2025666251048968,1.2927399371649566
67,76675000000.0,1.2026236637962269,1.2928478779306818
68,76700000000.0,1.2026788326551785,1.2929520541313682
69,76725000000.0,1.2027320517249735,1.2930523031419021
70,76750000000.0,1.2027832468293211,1.293148474001569
71,76775000000.0,1.2028323495974216,1.2932404274813303
72,76800000000.0,1.202879297488085,1.2933280361484587
73,76825000000.0,1.2029240337967853,1.2934111843957772
74,76850000000.0,1.2029665076572154,1.2934897684587312
75,76875000000.0,1.2030105431119658,1.2935714943909016
76,76900000000.0,1.2030528523912223,1.2936497134441822
77,76925000000.0,1.2030928378763193,1.2937232176742641
78,76950000000.0,1.203130466818014,1.2937919392151345
79,76975000000.0,1.2031657120068828,1.2938558215916418
80,77000000000.0,1.2031985517274755,1.293914819641442
81,77025000000.0,1.2032289697091518,1.2939688994281249
82,77050000000.0,1.2032569550620977,1.2940180381222335
83,77075000000.0,1.2032825022110758,1.2940622238754462
84,77100000000.0,1.2033056108167928,1.2941014556674741
85,77125000000.0,1.2033262856885707,1.2941357431330829
86,77150000000.0,1.203344536692618,1.294165106377915
87,77175000000.0,1.2033603786475962,1.2941895757663573
88,77200000000.0,1.2033738312140492,1.2942091916947638
89,77225000000.0,1.2033849187807417,1.2942240043562396
90,77250000000.0,1.2033936703306172,1.294234073462115
91,77275000000.0,1.2034001193135182,1.294239467975072
92,77300000000.0,1.2034043035017852,1.2942402658057317
93,77325000000.0,1.2034062648432,1.29423655350211
94,77350000000.0,1.203406049303036,1.29422842591536
95,77375000000.0,1.2034037067033978,1.2942159858585824
96,77400000000.0,1.2033992905521724,1.2941993437432486
97,77425000000.0,1.2033928578699595,1.2941786172104046
98,77450000000.0,1.2033844690053017,1.2941539307372216
99,77475000000.0,1.2033741874465622,1.2941254152359885
100,77500000000.0,1.2033620796307445,1.2940932076463143
101,77525000000.0,1.2033482147456067,1.2940574505133644
102,77550000000.0,1.2033326645216287,1.294018291545398
103,77575000000.0,1.2033155030288556,1.293975883181132
