,freq,n_s,n_p
0,75000000000.0,1.25298610704917,1.33662325911197
1,75025000000.0,1.252783702664649,1.336268887769936
2,75050000000.0,1.2525910537989933,1.3359314250200216
3,75075000000.0,1.2524081353215137,1.3356108055729934
4,75100000000.0,1.2522349111107984,1.335306946366026
5,75125000000.0,1.2520713341344767,1.3350197467248994
6,75150000000.0,1.2519173465400069,1.3347490885394395
7,75175000000.0,1.2517728797739796,1.3344948364822324
8,75200000000.0,1.251637854716102,1.3342568382469753
9,75225000000.0,1.2515121818447306,1.3340349248354444
10,75250000000.0,1.2513957614141444,1.333828910859298
11,75275000000.0,1.251288483652515,1.3336385948722225
12,75300000000.0,1.2511902289839032,1.3334637597382892
13,75325000000.0,1.2511008682699067,1.3333041730292539
14,75350000000.0,1.2510202630597935,1.3331595874319522
15,75375000000.0,1.250948265869715,1.333029741201259
16,75400000000.0,1.250884720471593,1.332914358625712
17,75425000000.0,1.250829462199486,1.3328131505194458
18,75450000000.0,1.2507823182700868,1.3327258147350198
19,75475000000.0,1.2507431081162148,1.3326520366955266
20,75500000000.0,1.2507116437391275,1.332591489956252
21,75525000000.0,1.250687730061966,1.3325438367660327
22,75550000000.0,1.2506711653033473,1.3325087286611061
23,75575000000.0,1.2506617413552277,1.3324858070647054
24,75600000000.0,1.2506592441743238,1.3324747039085805
25,75625000000.0,1.2506634541775463,1.332475042260493
26,75650000000.0,1.2506741466423636,1.3324864369595935
27,75675000000.0,1.2506910921208136,1.332508495274867
28,75700000000.0,1.250714056846198,1.332540817551194
29,75725000000.0,1.2507428031574828,1.332582997886021
30,75750000000.0,1.2507770899131683,1.3326346247887548
31,75775000000.0,1.2508166729138532,1.3326952818559425
32,75800000000.0,1.2508613053239788,1.3327645484462693
33,75825000000.0,1.2509107380947204,1.3328420003589627
34,75850000000.0,1.2509647203831067,1.332927210507422
35,75875000000.0,1.2510229999688458,1.3330197495908038
36,75900000000.0,1.2510853236709483,1.3331191867672925
37,75925000000.0,1.251151437757813,1.3332250903184137
38,75950000000.0,1.2512210883563022,1.3333370283139498
39,75975000000.0,1.2512940218476365,1.3334545692567978
40,76000000000.0,1.2513699852700038,1.3335772827418204
41,76025000000.0,1.2514487267014776,1.3337047400836826
42,76050000000.0,1.2515299956451158,1.3338365149510591
43,76075000000.0,1.2516135433974847,1.3339721839752217
44,76100000000.0,1.2516991234181714,1.3341113273629925
45,76125000000.0,1.251786491684449,1.3342535294870224
46,76150000000.0,1.2518754070361235,1.334398379461941
47,76175000000.0,1.2519656315136505,1.3345454717116083
48,76200000000.0,1.2520569306829552,1.3346944065161896
49,76225000000.0,1.2521490739508185,1.3348447905455645
50,76250000000.0,1.2522418348722917,1.3349962373814799
51,76275000000.0,1.2523349914375386,1.3351483680068137
52,76300000000.0,1.2524283263619078,1.335300811302489
53,76325000000.0,1.2525216273477178,1.335453204498065
54,76350000000.0,1.2526146873473418,1.3356051936264242
55,76375000000.0,1.252707304803261,1.3357564339408212
56,76400000000.0,1.2527992838893205,1.3359065903355687
