,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_min_curve,delta_max_curve
0,75000000000.0,1.4715490366257618,1.5558688808576282,1.4513473031796589,1.6115070224288206,1.4786837357181466,1.5924981206943283,1.592310063292944,1.50863336992208,1.6042649957452138,1.5927647469470456,1.5854605833606235,1.6109569753144954,1.4412627990387616,1.5609795015835461,1.5866169109620585,1.498982395139479,1.551915711548317,1.5002197723958988,1.6168133461677148,1.5557593399419753,1.4900007423709436,1.5550274122626175,1.4346108289287698,1.548224764353415,1.5869284616569208,1.5460573946468457,1.6022874949123769,1.569156252838547,1.602875054775352,1.5053231351746654,1.6837858919831685,1.6108593373587523,1.5483547029501015,1.4743946145543028,1.4851022770595843,1.5724825053097968,1.5180693748384526,1.5667802007382738,1.4584248076366155,1.5020458584243797,1.550501522370891,1.5760126604145797,1.5443589369043593,1.483574932258041,1.5185136936389703,1.552808296147271,1.4565132207650409,1.4951228353005142,1.555456456174336,1.547497734229675,1.4786837357181466,1.5002197723958988
1,76250000000.0,1.5894186704369604,1.4932396622090607,1.5405617040852553,1.568042568249139,1.5668032334501694,1.5529723732615184,1.5661839636498265,1.5462788526430102,1.5923274806755838,1.5307109735135627,1.4191232214820555,1.534875244553344,1.565784298720593,1.6042081719780903,1.488897300512153,1.5339009599455655,1.4633771798036739,1.5661524065545702,1.6248492332561104,1.6602220808546655,1.556792563346288,1.5821411458607182,1.4756286172137372,1.5416983583203965,1.4714853125475615,1.6271199136289465,1.5466252337764903,1.5244077302648191,1.5165314328806845,1.5312740398293223,1.5394569922134544,1.5188642239994496,1.5596371444531234,1.5343011817583363,1.592241866345483,1.647383759451152,1.5014129383332184,1.5007456330124553,1.493813324937172,1.558156676317097,1.6188391961555206,1.5663827801546732,1.636146269841839,1.5204853341361473,1.599497848608799,1.5267208629677724,1.5473103087491689,1.5664926046297496,1.503182242274881,1.5834854360749666,1.5668032334501694,1.5661524065545702
2,77500000000.0,1.5752005536992746,1.54333916905194,1.5687411424084285,1.5946968157715975,1.574245080178564,1.554099582644997,1.5447026882158386,1.6069862380927298,1.5064199818790833,1.5678685931185734,1.5715418487485922,1.5475775916742194,1.4919810447072512,1.6446703319169327,1.541978301861895,1.6232904499138365,1.5385206180579747,1.598257819696734,1.5418163026560368,1.4359426260209007,1.6208647441666728,1.5428269189151955,1.5759283992848188,1.5129458724554528,1.5319282661919424,1.5735461673322648,1.6736421636389085,1.6183836817719783,1.5896376520176583,1.5396559123802132,1.6151542111563706,1.598857905757557,1.6432219770695027,1.5453520599048827,1.601247371695063,1.517282313315882,1.5492061527686989,1.5816135817592207,1.4890544044797496,1.5235692929055915,1.6124665686371193,1.5081475574791747,1.539966039294965,1.625894689940484,1.59125150667929,1.5493450335748697,1.5306373421563404,1.6753606016413187,1.5476906309784926,1.5945231952492847,1.574245080178564,1.598257819696734
3,78750000000.0,1.5093735682835692,1.5995224723039358,1.577312195060064,1.5814051511154692,1.5783480617845052,1.6209951806806069,1.6274834692431557,1.6245162675844347,1.5374301194186346,1.5391874447082556,1.5226683763253397,1.5896893906470915,1.653067413665887,1.6067073563020253,1.4936551116239392,1.5878027248863267,1.5400850421700953,1.5513689234031602,1.565401575185249,1.5208265789902429,1.552403084104191,1.5179974246563477,1.5727053807937965,1.5445828101715129,1.5708525679530654,1.6712009289476077,1.5895523722097151,1.5679386991397306,1.6504640943687536,1.6577397808310532,1.5335245121134955,1.5148782874951066,1.6193954024979365,1.42926081382911,1.579057958099056,1.5717528132463128,1.5182271983536453,1.42468901791449,1.5576014329587256,1.5879123673651856,1.553052236849816,1.4636135422814398,1.5653142731789436,1.622960523977789,1.6133663025373022,1.585076460634643,1.5446322289191985,1.639308794956612,1.599441703535598,1.5727528224383118,1.5783480617845052,1.5513689234031602
4,80000000000.0,1.5786055288366199,1.5534535090286086,1.605643453582583,1.581739004805553,1.5550291145039974,1.4645965672477683,1.640701134514369,1.5566863394910622,1.540274319580969,1.6377550639770992,1.5896272605400157,1.4876184425467192,1.6420632999978713,1.5823726609607587,1.479253868568893,1.4435927772654993,1.5529629930729332,1.5733061202481478,1.6496946724760126,1.6030112143761521,1.618313097891583,1.6435332965644447,1.6466675612148751,1.550528581519203,1.6122466315405557,1.5673926163437457,1.55583018410737,1.5930550313420508,1.5611883435802871,1.5194213711354874,1.6134137351144966,1.5400891260954526,1.5301192296808417,1.5592802843462843,1.5844609890749768,1.6485810406966712,1.4971352293314621,1.4985657983908707,1.5849144087527463,1.5672208912555516,1.5416125055264578,1.594289828282168,1.563043888023281,1.5547457433773555,1.5563702030181066,1.5781617195228588,1.4686573453537,1.4970845454067259,1.5588543785673563,1.6183392379866106,1.5550291145039974,1.5733061202481478
5,81250000000.0,1.5921540593330115,1.589867729564534,1.6287524340235504,1.673848831413565,1.636858925348966,1.6056584028923853,1.5748763098604728,1.6269967998661787,1.5554103204820127,1.5876641608153985,1.5149144327960269,1.5954935111290254,1.5508300328074072,1.471705791778077,1.5819695832608978,1.6295887522177497,1.5010571831021697,1.5127337113383237,1.4804585621582136,1.5803735757567388,1.6078470417860065,1.6276477978180062,1.5432822502259114,1.5749060046608683,1.6024206783330663,1.5022597012734813,1.5560348530359989,1.5391279327522407,1.587654757133794,1.5559230109341056,1.5234380915540653,1.522391893620854,1.5582313775104473,1.6345778039593537,1.4715770168005595,1.5246420215323253,1.5233963783223707,1.531177372226774,1.6069619507828388,1.605082418289824,1.6591479547232235,1.6049181974435789,1.5889841765700188,1.5156927455598432,1.5673759473962496,1.5983561764928365,1.5169380151753953,1.5320701124846694,1.5791475959581502,1.5062262570617757,1.636858925348966,1.5127337113383237
6,82500000000.0,1.6442586353952,1.599347856164682,1.5203428983065632,1.4929693874331547,1.4846643097277847,1.5811519237951046,1.5384882118451904,1.475402352092408,1.541149718467119,1.5205698851443497,1.6719430077567978,1.5303852534626807,1.4926547545782494,1.5902042918474644,1.5834129170988194,1.6098887727004492,1.6238222295060687,1.582911656907028,1.5157226492293694,1.5214713671126594,1.5528477269728969,1.6603356404234366,1.5746813445723322,1.5750160859555637,1.5940412006569686,1.6235937782450256,1.510613023389184,1.5816213579141551,1.4956128853346031,1.6709162549308703,1.474430346269776,1.5882605658680284,1.643730793450968,1.5271520800500435,1.5608465359202301,1.5410474679566708,1.5107998813820043,1.5671833775491664,1.5248379043578326,1.5569564397277726,1.5635710188110825,1.5012488931085828,1.5070699868382091,1.527468258761233,1.4807597803225996,1.5401368163780536,1.5997106918959825,1.4445160510608315,1.5848773695119465,1.6376346074739652,1.4846643097277847,1.582911656907028
7,83750000000.0,1.5267174979819889,1.5289953851023,1.6413770364919724,1.606063928409751,1.559086250310128,1.5987276544030184,1.616090185515147,1.6007538965460355,1.5558948262683145,1.6538709898306994,1.5909354372941933,1.6811564714322078,1.5022711805054856,1.6034351766203376,1.624257119699797,1.5621655886033972,1.6590638468638679,1.6402025502833342,1.5325931772957015,1.6404907474153183,1.5934386572222414,1.577610297314198,1.5796497239291714,1.5569986730007879,1.5883280313597823,1.5703519632007101,1.5162703908100572,1.6724206164188082,1.5823186464036767,1.621843864117111,1.5795900165783854,1.642467285747352,1.60491462327496,1.5505493646739155,1.6089679680315991,1.640111720079205,1.5884372904921338,1.4936154240308221,1.5080505586568291,1.6623631299928752,1.499902597959931,1.648875906378537,1.5724050412227903,1.6126233490343744,1.5514973508488492,1.614040978957368,1.5428929613231495,1.5377373015658546,1.5991210950769645,1.5801887134697021,1.559086250310128,1.6402025502833342
8,85000000000.0,1.542594159708242,1.4828522388620509,1.5479173450997148,1.5457417786264442,1.5222118784014376,1.5476159797832425,1.6440709256390547,1.5853983081072214,1.5188822098158021,1.5192016882256505,1.5702014402656823,1.4707734788641433,1.5589430862338527,1.5527580428477774,1.5332006264109912,1.5249424682375674,1.5079731033127983,1.5940841356311308,1.5248358734661667,1.6469050968757972,1.5951323285918495,1.618780774845242,1.5926949332413713,1.5139634849437533,1.4816014467669738,1.6531929599743354,1.5740703885078606,1.5975703798102068,1.5654675744264732,1.5770533099529305,1.4313757820278803,1.5196262329249968,1.5257497316530355,1.488558920054231,1.5699265845583472,1.5740370999991304,1.4696222233115357,1.6560683302671277,1.6300057115405642,1.5781437085657228,1.5531521263969363,1.5431347678268557,1.4492858248544929,1.5000515950497306,1.657731436613851,1.5695955438501314,1.5659352686571977,1.5250093372849454,1.5169739933013915,1.579696490102769,1.5222118784014376,1.5940841356311308
9,86250000000.0,1.535432240324514,1.4490152163518453,1.6178497729172223,1.510716250102638,1.5503312478340165,1.5088947203521248,1.4941151545977416,1.6071227803806631,1.635718627615469,1.529159163675548,1.472196292442453,1.601960970736939,1.6714543657090515,1.6175555062528075,1.6710687793116068,1.591337007085737,1.5101445274523266,1.5372498219273933,1.5592199270271854,1.5687004669807345,1.6589871449524,1.6237666998604683,1.4945597792287575,1.565179263382917,1.6183743602649516,1.6026582205856836,1.576161406354654,1.515488631866617,1.5967601092706225,1.5662274993711827,1.6653197176937549,1.611245825211211,1.6849743627458698,1.535773454259883,1.5424714874854595,1.6142501846389725,1.6026801699847475,1.563784246350213,1.5601780876567177,1.5590381925650925,1.5553183837606082,1.5586590693978368,1.470444066856245,1.5565673577469934,1.4725144949757505,1.6070141005014764,1.523355696017538,1.525879608284516,1.5109056551905313,1.6965653429345202,1.5503312478340165,1.5372498219273933
10,87500000000.0,1.4809893805963346,1.6645323867430084,1.5314440726620115,1.552518356803652,1.5766011864896252,1.518936846981852,1.4904580047814049,1.5771603933706626,1.5311231281862847,1.615492871023972,1.5276676705712022,1.5469669360554414,1.531809975842107,1.5032113793699642,1.5303433532301067,1.6392197740595587,1.589696239808894,1.5481166139127682,1.5541118992449525,1.5349703232161447,1.5993060946607938,1.458365538300822,1.5480184873825886,1.639056056823709,1.6240094178190878,1.612329456011801,1.5940640169169011,1.5488261080500996,1.6156605679042688,1.6027763064324296,1.5360557318759467,1.5607551132835455,1.5539772735624071,1.54687219761181,1.64773661017395,1.5425671461705657,1.537203968356427,1.547782735223447,1.5771555742182821,1.6021560160797508,1.6996697703055317,1.5327150900160493,1.5260177613809576,1.5845118387354507,1.5769830142783228,1.4664374791812727,1.6249476012293191,1.5713415364029806,1.542441877395341,1.4775845577529225,1.5766011864896252,1.5481166139127682
