,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50,delta_51,delta_52,delta_53,delta_54,delta_55,delta_56,delta_57,delta_58,delta_59,delta_60,delta_61,delta_62,delta_63,delta_64,delta_65,delta_66,delta_67,delta_68,delta_69,delta_70,delta_71,delta_72,delta_73,delta_74,delta_75,delta_76,delta_77,delta_78,delta_79,delta_80,delta_81,delta_82,delta_83,delta_84,delta_85,delta_86,delta_87,delta_88,delta_89,delta_90,delta_91,delta_92,delta_93,delta_94,delta_95,delta_96,delta_97,delta_98,delta_99,delta_min_curve,delta_max_curve
0,75000000000.0,1.5633437675285071,1.5344031446369926,1.5345220917239613,1.5095899640111314,1.5108444878349585,1.569268724723134,1.5498757451430465,1.533767024056075,1.5113313053479407,1.4854970326741925,1.5751876812510905,1.579471726564671,1.5182477351620673,1.545280344169057,1.586090241528521,1.5630516938924548,1.550810485645971,1.5911949574680253,1.5879511546628222,1.6214006496290778,1.5383673055792246,1.5156944029259225,1.6014054850146116,1.5661165955133718,1.5720115547704085,1.5828798111826834,1.6191940757136984,1.5137728263575516,1.5932362145083039,1.573253507924774,1.5970029116869702,1.5203469630391417,1.579271751868458,1.6068273645991709,1.5679548293994254,1.5314207053377484,1.5789354191531129,1.5632900720475833,1.5809297658536114,1.5867705037981932,1.5365285799656434,1.5217544790717492,1.5286091192255373,1.6003270963120422,1.569446795970556,1.5304603065930924,1.5738447190323248,1.5427393711828838,1.5343916772371493,1.4975779927105721,1.5694676170725956,1.5488323428257513,1.5910102825451946,1.5363383517901414,1.5862954656405004,1.5822740504048265,1.5580560506992402,1.5911158094931908,1.5224881462669844,1.5699147348937468,1.514847268441741,1.5311522330375702,1.5880383407797318,1.510205864989327,1.582852727594951,1.4945586129148487,1.5482013706178492,1.5675659569694278,1.5579141515665853,1.5572028062052372,1.5508873092470319,1.5802322924963543,1.5204889300592965,1.58828770941737,1.5472961691204428,1.5553464536785075,1.5242356424928751,1.5619397937909976,1.5860217605375513,1.5305449333933188,1.5890546946304736,1.5135321921201026,1.5207498347169266,1.61854708885378,1.593365579661055,1.5944796795950507,1.5866391379151312,1.6150068782459566,1.5099576493318456,1.5641150420742904,1.5595669273367663,1.52948360946992,1.5370146548964816,1.5046809032164372,1.5660428722201896,1.5642817188996228,1.6017561860825218,1.6252424894095405,1.5458082765068906,1.5325124645202752,1.5113313053479407,1.5343916772371493
1,76250000000.0,1.5786227351676083,1.4922988591130244,1.6328986581827385,1.5114518198472886,1.5861589997144725,1.609484682250722,1.5540085643188941,1.538678054607313,1.4963092215291647,1.6025842218245647,1.5263145946781198,1.5357254498563162,1.620706510824849,1.5618679721292015,1.5703624415153854,1.5363034790663626,1.5037229072602505,1.6252162147332871,1.5881725405412213,1.5172562925215365,1.5430806905524508,1.5434939941763413,1.538495867647836,1.624488599546662,1.534213740108042,1.5843507357818671,1.5967211973532915,1.500528387750448,1.62504604925782,1.5155330094609303,1.5222640305003123,1.5212541961627697,1.5789844210770108,1.6059289883216223,1.5845538600059808,1.6223977520021235,1.5408434046639712,1.5310436197995292,1.5886211250152302,1.565411677015548,1.561657078057197,1.6223902589600343,1.5659909895150335,1.525216257443159,1.5723989016092208,1.5623022004450322,1.536459208785509,1.5036026642023657,1.5037794664452133,1.5508169058193078,1.5586097174222582,1.575704552949447,1.5653740538176208,1.5627555915758853,1.5726408645370407,1.6082887028530386,1.5401218494193094,1.5528321199215425,1.618005650443702,1.5500125138775476,1.5640635103540694,1.5416410046306475,1.5996489410064485,1.5445948157336884,1.4726241039860768,1.4653024029648316,1.5467784133899392,1.555914837215197,1.5562532817542256,1.4895716744841858,1.544102619766024,1.5274682451978678,1.5543462736099478,1.5093278344636665,1.6016391432995851,1.578988036791941,1.6059449885339063,1.5571827232433488,1.5447144601127665,1.5675821126147833,1.590498142986682,1.5533308912057298,1.521965459079239,1.5356566101496678,1.5510615283428835,1.5935696435203583,1.5727085407873345,1.587427088230806,1.5545122891029468,1.605151534981817,1.5962719313995206,1.5299540188530127,1.5376428938338182,1.5740413738743293,1.5902820867556646,1.5397758627112645,1.583807144307431,1.5790081113402064,1.597171350472042,1.5664392632433322,1.4963092215291647,1.5037794664452133
2,77500000000.0,1.5674141020014158,1.5657050272239197,1.5454158072481141,1.5160339498351123,1.5542094529500337,1.5846837222391879,1.5260534948930136,1.5373169844343673,1.537872910666014,1.609241862277137,1.5527374919205346,1.5033820716052333,1.5801107315551617,1.5418006508289188,1.5704124150296446,1.558062234291479,1.5536746383033646,1.594620823310399,1.5470041834260215,1.5488015429925999,1.5980902049788541,1.5711606206425632,1.5526534402995738,1.5828274107043978,1.5714456975553877,1.5101800937592464,1.5731373308328143,1.636738603665518,1.5812472622911502,1.529653866800929,1.5267374871290476,1.6071075026537245,1.554312464727761,1.622277914499364,1.5856444625359987,1.571738330124766,1.542887093553021,1.5655600359001784,1.5657166692247213,1.560075161879351,1.6084359519601679,1.5918034031922739,1.5986312081534082,1.5821397021080856,1.6137487088351727,1.6261162435852703,1.588161423550604,1.5902434925965725,1.5490024507793672,1.5722246601958805,1.5866720576525808,1.5345892691162766,1.6039548418129914,1.6053505216258932,1.5767737633295535,1.5813916514795199,1.5515430571288682,1.5197604431813931,1.5528181048798084,1.5935963320725064,1.6095547739119667,1.5150161369664759,1.6423793652214522,1.577525723172707,1.5189306081259228,1.5880872865249753,1.5935547061276514,1.5596807062145905,1.5162069675737604,1.5618514043207734,1.5983506703466008,1.567356436490128,1.6013359068879902,1.5467123979337662,1.6194269076020007,1.5751169028494902,1.640412902918676,1.6325728845194662,1.5943555726645995,1.5884927907992454,1.580943017992702,1.523309194276729,1.542499461173086,1.5840825475494733,1.6124921325621593,1.5324594382025605,1.5531583591441163,1.5977503547495826,1.5786032765254063,1.506995313129866,1.5381570123223267,1.5858745955669142,1.5816760619125558,1.5597664610858777,1.5762499167487174,1.5171322411018644,1.5784799647554415,1.5980694489327896,1.5106558806070847,1.6053328176655093,1.537872910666014,1.5490024507793672
3,78750000000.0,1.6167004297180059,1.5886316292483635,1.6477190763036267,1.5687366226770811,1.6267699372527311,1.6391094638118024,1.5256188174087122,1.5452928584961576,1.527097320306098,1.6153759736217495,1.5541674621842805,1.6001545951256495,1.5927767852787644,1.586128246613926,1.5762436982241095,1.588005006573796,1.6235272173421367,1.5510593891688804,1.5166951526865866,1.5579888121490397,1.5187539109609822,1.541801772247986,1.565661308153145,1.5503373626229597,1.5546489161039665,1.624725841933205,1.5655399088587363,1.6392018501704742,1.6266753754013386,1.613425298400404,1.5980908725518819,1.5372359777079363,1.568813167733693,1.6010149410581025,1.5192336793215901,1.6235752132262409,1.6101300947444652,1.5707758990270928,1.5826778734376508,1.6051974799103628,1.5211319539172024,1.5498186761225243,1.566952497988959,1.519020274949307,1.601823736267442,1.5765341401509372,1.5981878992440204,1.5327631103307593,1.6007772415666406,1.5667308434854894,1.5743413547239726,1.5279068466654993,1.6119126033631281,1.5395295401551319,1.6356933522708137,1.628537667764088,1.5756604453304617,1.5468449226938312,1.6494907417050526,1.6231810220613276,1.5815895302277179,1.5727497175925131,1.5405627683164576,1.5880705359694882,1.541414251545879,1.5586536927642212,1.5478974759617523,1.608366476422704,1.5944421183313593,1.5718963075029688,1.5541868158150316,1.5413086413987425,1.6022353990191647,1.5985063533809316,1.529069538120503,1.5854013528718613,1.5449765426157454,1.6065479635883024,1.5833317819249422,1.560748680686754,1.560843394786233,1.5330207711728403,1.6124306838942415,1.6361146767760946,1.5583407710716557,1.5305085952541209,1.5649227625757058,1.6362952189025608,1.5504255512924863,1.5794990237086255,1.64152215691114,1.5422954982439703,1.6135170418525384,1.5966455467281266,1.5340183830861853,1.61408532070532,1.550265402660384,1.5277659241098338,1.6052721774001188,1.594885125255193,1.527097320306098,1.6007772415666406
4,80000000000.0,1.6475650495132728,1.5980852728275239,1.653525644544281,1.661675720395884,1.6185833686831015,1.5547494937898283,1.5221502558390403,1.5924715140526022,1.599498406104246,1.5998285945791149,1.6292389654488701,1.5645530249255848,1.5272591985845747,1.5229573247454682,1.5990287913958894,1.5768418717685808,1.523400832868659,1.574024944436224,1.5299583574065378,1.6091320852401998,1.5824116407441977,1.5341175927563437,1.577896289511321,1.520716157385194,1.6105482076753774,1.5158469082103476,1.642964397369221,1.55287933594601,1.5780146563424753,1.589050745730086,1.5302950447035366,1.6286049690129616,1.5803267319369683,1.5479987897076268,1.5437397868869167,1.5875474113725119,1.5634784353912077,1.605541765061368,1.5295196317534896,1.6201716325526894,1.608188661398588,1.5323177854387162,1.567122588724455,1.51999391882143,1.6303271011964133,1.5699907385812262,1.5355968978032908,1.5789711533826971,1.5177416655939906,1.544560233869946,1.5621225336142732,1.5969721164688324,1.5622187158167198,1.6118029409160937,1.5704693781046415,1.6134574211642587,1.5553611180589333,1.5204540413235332,1.612602941257967,1.6415727513401812,1.5813911787121422,1.5308823641148728,1.561137272068529,1.5909539103086028,1.639499449261831,1.5822247838058778,1.5845936114797579,1.6193771555537184,1.5439298148896987,1.577028401790721,1.6172283772735343,1.5622626507827972,1.5652630355845245,1.6232497184201302,1.579360007114092,1.6056648348889524,1.621257536911008,1.5717456766595195,1.5659257463111413,1.6592572735711195,1.6536116735202153,1.5933852969614597,1.5742688708356947,1.6109861727586925,1.5663169372642027,1.567287629546748,1.6281691002510754,1.5857265901833932,1.5593442333956475,1.6130918869254602,1.5225890402461542,1.642519679476114,1.609301528378065,1.594403420760237,1.5988907289979886,1.5658886615833099,1.5629811452357738,1.5419219195018263,1.596348837779633,1.552551776094137,1.599498406104246,1.5177416655939906
5,81250000000.0,1.6084012359520001,1.5936557898445494,1.5507169248301316,1.543633928414271,1.5674270811360531,1.570326091440234,1.5367214975444181,1.595370337755897,1.6057720641250388,1.5955348293581455,1.5859190942575534,1.5985887260516711,1.616966725609808,1.5838581764651103,1.546265502629497,1.605309096939713,1.5775859938526047,1.5910179004474765,1.537347058027438,1.5604582984748219,1.6207644068675287,1.5944354958527869,1.5858591471030703,1.5051490970221095,1.5538520921139696,1.5418530866352353,1.5725243215933455,1.6109520073999242,1.5462797521105174,1.6305611993362668,1.5576885811259358,1.554835538035895,1.629173544090523,1.5377289842544584,1.5810409700984285,1.5602980582393935,1.528918822306152,1.5934021157828122,1.5767045457655904,1.581193655149259,1.5689232444378511,1.6143025436484653,1.5717564041792251,1.6244589184089522,1.5605661984939436,1.5545706468985485,1.6224610701494515,1.584081943879269,1.5007720872598767,1.5061717416272773,1.6144977203323823,1.6360746469885155,1.5605967532025173,1.504464383518332,1.5881673691938032,1.5440874789508787,1.641868505753847,1.5376761361482456,1.6079266204252627,1.5432695938671006,1.5760259743168235,1.615124310506791,1.5622872690059209,1.5506994261950753,1.5608252194596217,1.562459135174419,1.5546791233487018,1.5666943208690898,1.6019716337006882,1.604474063966468,1.513139987736187,1.5647641272174841,1.5201529150437936,1.557232363572165,1.5817987213750162,1.5951886798067387,1.6025097472563536,1.5787319391111339,1.6092986419783402,1.6017878045408551,1.5710281987090131,1.5398764697992662,1.5545838608114517,1.5222621893975734,1.5350315234407608,1.5208280420550933,1.6324197477950018,1.6214644644712208,1.6180685937523926,1.5992712747584394,1.6146704696632097,1.534945451189737,1.5894625329068257,1.5318991997139004,1.5707568924742041,1.6201392655403637,1.5301791511942997,1.5615477869457852,1.5871234837659192,1.628304407362722,1.6057720641250388,1.5007720872598767
6,82500000000.0,1.5379905272987373,1.5579159650942367,1.5391624490907583,1.5467595675049435,1.5851497486987267,1.543791025618014,1.6052949936349976,1.5751132014975566,1.5878752616060838,1.6192630069943312,1.555033386956074,1.5757101010574093,1.547804621052712,1.6319001791636751,1.5364194454385929,1.5860701280753047,1.5488292185269685,1.5580210683563838,1.5585744509212527,1.5861517056935517,1.5089800530473017,1.5774871608833956,1.5478167396792817,1.533457254569491,1.5355283328566214,1.6423410958471316,1.569038456260224,1.59097972433217,1.4970735371095762,1.6049633785904598,1.5792637149083628,1.6085492101906795,1.5470995473806373,1.5973252655748582,1.5936000247685345,1.6413337707505082,1.5959051986009443,1.5345138881831988,1.6322587467123622,1.5687052390472365,1.526529015675417,1.5384296989334338,1.547168210868823,1.5422616129999802,1.580878174954777,1.5656850058978777,1.5422900604480732,1.5480602365550886,1.5550189589826056,1.6087757041954083,1.532111541897476,1.5349180532165105,1.5705526524150635,1.585548063953178,1.5750314313594538,1.5743557935043622,1.5044709742838234,1.6100968930420758,1.5866702058761302,1.5493169579664492,1.6312439138034398,1.555710637196959,1.5920495656523075,1.5915021039684418,1.534850693374314,1.5754993110738695,1.5935577163038754,1.612507973711304,1.6170774310944287,1.5757461670512243,1.5247095105417572,1.525966985847428,1.6260835761716916,1.539907259144764,1.5998634145742723,1.570000530846981,1.543684178089054,1.636735729612023,1.5848204115675586,1.6214762640617595,1.6015996864706485,1.5921214853872887,1.5864227942419298,1.5427524677623607,1.5894772692152292,1.5733307884496386,1.5606113582438605,1.5396640851233314,1.5608191104944609,1.631250981090234,1.551168804917637,1.5334213726682726,1.5614471345057594,1.5739654544537869,1.5356228396973006,1.5525199581972537,1.6007418953581636,1.6054580500918283,1.5799105219861973,1.536821427071862,1.5878752616060838,1.5550189589826056
7,83750000000.0,1.6271539870698961,1.5824668668076856,1.5223858779219195,1.5995773197698628,1.5569397507592426,1.6436633975750867,1.5817867264688579,1.5385725476040917,1.5246679395430995,1.5818298230901167,1.5490996995362674,1.5897873614700984,1.5853920747875205,1.518396742603739,1.543883219796194,1.6249658065969192,1.57752670279202,1.6431862235804164,1.4983016306835162,1.5044319497207925,1.5427612961740738,1.6029775422537949,1.500268407231474,1.6152382696813943,1.6266019831880028,1.572198490528939,1.5988964194784065,1.616782416911681,1.5885508932426993,1.5274098857786305,1.5606510319297917,1.5998671217837082,1.6269244810853416,1.6337223844525846,1.5572741863489086,1.5308377135133084,1.6041544320182373,1.6249316461684773,1.5630678437347292,1.5625570184953668,1.5825763467559866,1.564194539461079,1.6295040242820318,1.571853447081898,1.5961809507007163,1.6275557920576855,1.5852785362148074,1.5237315701451364,1.5838719513005495,1.577965593074571,1.5764488084646888,1.559382916079036,1.5328403767362708,1.5260845829695207,1.5460374344337777,1.5873192330927866,1.5764901433660954,1.603155252496051,1.5839091378018328,1.5999764205408464,1.5607567622569025,1.5279204578438252,1.6160155403779102,1.5377329261734698,1.584763427144363,1.5802320534998135,1.6029453688054651,1.5586228216563773,1.6252832795770775,1.5791410994189594,1.5740521375398069,1.5984124195234373,1.5916196361486052,1.560322595154286,1.580966856444815,1.6019307741842055,1.6120572186680278,1.6011307351942161,1.5739286848498837,1.5514908698254624,1.532622783181462,1.5591343398311166,1.5271076501522902,1.6206705635183172,1.564399972053788,1.5793598282029253,1.5899704422546095,1.5622608398914646,1.6492495851185416,1.591842986667277,1.5462953317110126,1.5844737816423313,1.5822943520094923,1.5898705139085199,1.5841328211998178,1.5809503134543073,1.5455759782068026,1.5722646711791821,1.581882990144811,1.632815612238463,1.5246679395430995,1.5838719513005495
8,85000000000.0,1.5829295427104362,1.6050956466209374,1.5637147282343293,1.5165534940348513,1.5290662958013923,1.5526821492613527,1.5789680678893108,1.5468231084201691,1.5762924711910995,1.577168519940222,1.5820685222035826,1.6361629306614411,1.5547517268105864,1.6170514176939499,1.5978006057985037,1.519669415323747,1.6559641596323038,1.5717960781966358,1.6266474378335538,1.6073629535887384,1.5499722127567388,1.6289535151884798,1.530453690723747,1.625684125724675,1.591256626325315,1.5547916618245254,1.551974974312071,1.6302387344878273,1.5560188671802107,1.6113069347743243,1.5935946809209354,1.577683309561281,1.5805902035942683,1.5419653468088086,1.5937573408471863,1.6050879015921482,1.5797757638205894,1.5299184982804446,1.5593453672247348,1.6051818322348104,1.5038088064351398,1.532022197283226,1.4995174388201666,1.5823105999317968,1.5873889698910981,1.5690121562883192,1.6280039933796704,1.5336925941031927,1.589623703841389,1.5454279598923562,1.5446837805447897,1.5814930521802373,1.5060309602564252,1.6041217596498312,1.5500390686492813,1.576016318723879,1.5629657785028181,1.5730585539397715,1.5394657220234358,1.6548586337150542,1.5457104958247785,1.5213723736154634,1.5407930836672161,1.5664002339154666,1.6255508029747492,1.541713629822529,1.5186965516443849,1.615567342146524,1.5844205777857931,1.575819336672787,1.4889135400210267,1.5729935668512103,1.5386993214383557,1.5802422950875203,1.5431631267744803,1.6184400867288167,1.6145758373249532,1.6333358310569683,1.5687605308613142,1.554251546109812,1.6126657929521544,1.5067131079860134,1.5441449775313523,1.5870781698828773,1.5777467094622952,1.5673760188074617,1.5691460196625011,1.5786834240908032,1.582998644557581,1.5966586459914283,1.6276521882066732,1.5654305737859213,1.6117797012771706,1.5473057890033346,1.5159635250339834,1.5273292535401581,1.632212683800497,1.5900672971510055,1.577433432699791,1.5401652740709033,1.5762924711910995,1.589623703841389
9,86250000000.0,1.6593050582299325,1.566905724270563,1.5668762564193095,1.647105755277003,1.5900998815655638,1.5772246283838913,1.5921936846492524,1.5583795751629443,1.6103737484241911,1.553317452003612,1.6173000733734872,1.562078226259068,1.5337029057026919,1.5577918840066305,1.6111230740910847,1.5586558673419946,1.5074573871003103,1.594979980334895,1.6047531576475285,1.6127423500599096,1.5914639703475129,1.6095839597598687,1.5701506755989667,1.54169514453901,1.5722692790439254,1.6170335866138972,1.638928833751377,1.5169884478758826,1.6087441505271276,1.6013607669257686,1.6290471415634642,1.6579314514151604,1.5866415989958906,1.590181668675574,1.5999720805604885,1.5928604365551156,1.604645842553974,1.6415489662141067,1.511229689290007,1.5679150543571685,1.5915096510118687,1.5473016966011304,1.5902989635220202,1.5885353249043546,1.5611764472878222,1.6480119177759323,1.6038863306608122,1.579788728934394,1.5897101898746977,1.5222420297213537,1.6465972402351432,1.56415179098431,1.5079625414448863,1.57545247879586,1.5427114148255179,1.577666114340193,1.590388264197982,1.5521910457753778,1.6297691246446029,1.5677990518532643,1.572030021983079,1.591555603383797,1.534253188724369,1.5864942448107016,1.624862503041313,1.5643480742853109,1.5863642163094323,1.5936816661335402,1.5795979661840198,1.5972178389594995,1.6510274766184858,1.5720717979343382,1.5682977123181208,1.541802016033169,1.5784699141014749,1.6163795250268966,1.5915487606733951,1.554095740880687,1.5791617463812921,1.5575022763602544,1.5679998359748695,1.5351440814014614,1.5548318035656672,1.6470545443989866,1.51527810060143,1.5409940465968468,1.6359178602222293,1.5890840809876896,1.5454000866414623,1.5882788973413708,1.6168395151141337,1.5924709860215405,1.5813459640689478,1.6369477384805582,1.617753058773413,1.5354724554029975,1.6205499372698784,1.5022792007251649,1.5301449536959097,1.6382839893940153,1.6103737484241911,1.5897101898746977
