,freq,delta_0_-8.65,delta_1_1.63,delta_2_-4.83,delta_3_8.14,delta_4_5.35,delta_5_-6.63,delta_6_-4.38,delta_7_1.07,delta_8_-9.16,delta_9_8.26,delta_10_5.81,delta_11_9.27,delta_12_7.87,delta_13_8.52,delta_14_-7.18,delta_15_-7.25,delta_16_0.52,delta_17_-5.94,delta_18_8.83,delta_19_-0.01,delta_20_5.04,delta_21_-1.32,delta_22_8.79,delta_23_-6.99,delta_24_-8.96,delta_25_0.53,delta_26_2.16,delta_27_6.39,delta_28_3.87,delta_29_-2.71,delta_30_4.01,delta_31_-3.22,delta_32_3.77,delta_33_2.16,delta_34_8.46,delta_35_9.1,delta_36_-0.69,delta_37_-1.58,delta_38_9.24,delta_39_1.16,delta_40_3.21,delta_41_1.16,delta_42_-2.69,delta_43_8.25,delta_44_-8.36,delta_45_-6.19,delta_46_5.7,delta_47_7.59,delta_48_2.06,delta_49_-7.59
0,75000000000.0,1.5602741645302425,1.5350569718575517,1.5808310564132544,1.3907396137271775,1.4643128149973368,1.5757389765533585,1.5808667376926024,1.5429307244575092,1.5546996024922706,1.3871213100621587,1.4533710786784715,1.3559977425652363,1.398434601696061,1.3791972719351966,1.5725549880861616,1.5721127888591706,1.549941449955659,1.578640302661304,1.3697733129791487,1.5559789135619617,1.4714977433437326,1.5682186196504144,1.3710860771607454,1.5737628264400723,1.5570133020064656,1.5497441716935718,1.5268737480603107,1.4388915294723628,1.496204882226861,1.576723673225482,1.4935344771467296,1.5786955411398624,1.4982283357478146,1.5269082225449004,1.3810770151062561,1.3613998129896538,1.5628491524040573,1.5700933385274762,1.357044666455728,1.541673536810661,1.5089361699295445,1.541632888698662,1.5766149539973533,1.3873125207596502,1.5632001076763977,1.5777001972105236,1.4560807404848966,1.4066024530435604,1.5284383971280686,1.5697015497626943
1,76250000000.0,1.5659241721402086,1.535777293112468,1.5845682222255393,1.389124455799637,1.4635647288470537,1.5803710999951823,1.5843824220752012,1.5438943048264893,1.5606058165875858,1.3854741025285433,1.4524636670090052,1.354107918340767,1.3968904596539833,1.377482778165409,1.5774646451370957,1.5770564130463258,1.5511480984255615,1.5829269229713043,1.36798380708532,1.5574216261374243,1.4708615049961935,1.5702651924396314,1.3693067024626018,1.5785747905743097,1.5628170518264026,1.5509435682760184,1.52736688597109,1.4377916836999134,1.4960047703981,1.5794273082445303,1.4932828772868714,1.5816444013280497,1.4980680326251505,1.527402270878948,1.3793781283600222,1.3595480425117206,1.5646034098619754,1.5722573131303115,1.3551620898064831,1.5425963813100907,1.5089989279942522,1.5425544290621422,1.5793070278330434,1.385666985819351,1.5687009491829524,1.5821151057023952,1.4552116100540857,1.4051380976069723,1.5289732293063798,1.5748168430931404
2,77500000000.0,1.6016497589416359,1.5477957181793771,1.6095619343488443,1.3962049687131375,1.4715646506709874,1.6101392266851455,1.6082578853178942,1.5567589131239572,1.597928357527572,1.3925603817472398,1.4601788252237982,1.361398850910946,1.4039722466520173,1.3845953734305285,1.6087990608683185,1.6085854180952615,1.564898772344416,1.6108026699718498,1.3751512076164876,1.5720694013104697,1.4790840506789993,1.5873602459090002,1.3764649827105353,1.6093530885933407,1.5994958718613739,1.5646672434572872,1.5386342381716402,1.4452203656740101,1.505248137086983,1.59941595279152,1.5023942918952984,1.6027712681545998,1.5074153404367496,1.5386725536915276,1.386482812252306,1.366784578128453,1.5804873025339552,1.5898522866748475,1.3624418931238471,1.5553163882195546,1.518958089482439,1.5552698255622468,1.599242779397453,1.392752860682954,1.6035157625365875,1.6106861790992255,1.4629915069458646,1.4122422174797316,1.5403754611162062,1.60733914448456
3,78750000000.0,1.6056502109353294,1.554805947577089,1.6137533741974102,1.4088383241627531,1.4814836654945576,1.6140908273624681,1.6125483730955825,1.5634092942278546,1.601998845027146,1.4053217109549516,1.4705165658588264,1.3752419962444515,1.4163318648388512,1.3976353327129567,1.61272910030295,1.6125145734985036,1.571216779074107,1.6148163036177756,1.3885196676288467,1.5780890624367458,1.488724695398087,1.5927181784933337,1.389787867304841,1.6132878137364435,1.6035354011810705,1.5709947895747163,1.5460068884719538,1.456103369582329,1.5139076815384804,1.6042061130484624,1.5111618703508376,1.6073876076970985,1.515992662358827,1.5460436982187322,1.3994568758800292,1.3804423478191747,1.586147986476383,1.595097538705601,1.3762491898598466,1.5620250817851555,1.5270946758237176,1.5619803986622465,1.6040416341141113,1.4055074388263087,1.6074865656214448,1.6146722642751734,1.4732261117843903,1.4243088850968417,1.5476796021737076,1.6112697672390903
4,80000000000.0,1.613205983241827,1.559268328166178,1.619441745742963,1.4146774759174519,1.4863899533107194,1.620548906052568,1.6180734385697504,1.5678806554679388,1.6098712869958374,1.4112138465541268,1.4755405681206,1.381610628514459,1.4220601786952072,1.4036453507957019,1.619462230352505,1.619282581637437,1.5757155314887332,1.6209562520160423,1.3946730295375098,1.582630982329805,1.4935588310974777,1.5974392732957277,1.3959210637249975,1.6199221158008603,1.6112791207262873,1.5754924694272832,1.5504787261524509,1.4612961151420683,1.5185308059533065,1.6092254093633145,1.5158046488239072,1.6125440451525177,1.5206014725280812,1.5505154618560066,1.4054387053649129,1.3867257819789334,1.5907704333326367,1.5998642957016607,1.3826012342315193,1.566493620313516,1.5316367795059187,1.5664488554207778,1.6090548042618273,1.4113967609747218,1.6148657909479192,1.6209272287105767,1.4782201301754254,1.4299224255997853,1.5521483535226719,1.6182181675593905
5,81250000000.0,1.6057677476085737,1.5572889440309365,1.614479241927494,1.4137886739500307,1.4853151535338203,1.6144851259799011,1.6133688197541596,1.5657081583477066,1.6020644854025337,1.4103224196760118,1.4745276532110025,1.3806608877899769,1.4211738373964165,1.4027450198679108,1.6130371291099104,1.6128125901376662,1.5733403828501804,1.6153289980016623,1.3937566912693862,1.5800502995116585,1.492435145001309,1.5942965912686888,1.3950072976721837,1.6136253050455118,1.6036208966229233,1.5731235012724938,1.5486703124687726,1.4603441866883955,1.5171798768245843,1.6054167007646265,1.5144832904391183,1.6084730791903252,1.5192272196209413,1.548706382007761,1.4045408712918066,1.3857905115148101,1.5879060851942248,1.5966066379064545,1.3816544330777782,1.5643541553295215,1.5301247733118781,1.5643104434187858,1.6052582798444797,1.4105054957823728,1.6076377194970484,1.6151395823717158,1.4771932279440099,1.4290338565053715,1.550309271804926,1.611519024843141
6,82500000000.0,1.6104326898529437,1.5462277622420184,1.6145014761222134,1.3888643936105398,1.4665082884552567,1.6168987949012166,1.6127404170583572,1.5557425841195123,1.6072135817406192,1.3851288780869009,1.4547211878172557,1.3532516836294244,1.3968308019282774,1.3769705779122359,1.616114946893836,1.6159691442443516,1.5644279241569212,1.6168644747947312,1.3673066070108488,1.5721232201422795,1.4743058813612095,1.5887353252367888,1.3686503621021584,1.6164735618008432,1.6085805323741735,1.5641801997330864,1.536545530163968,1.4392690868360045,1.5015315310032942,1.6021981393927316,1.4985540777480262,1.6060712045040035,1.5037940180794573,1.5365859439258578,1.3789031560699057,1.3587534821181984,1.5812263741855195,1.5914810071302365,1.3543169653545828,1.5542080948172985,1.5158663194735096,1.5541585853023245,1.6020004610578527,1.3853261197355606,1.6120050143433506,1.6170077594267926,1.4576308556529516,1.4053210247188987,1.5383827494738997,1.6150649283573237
7,83750000000.0,1.632150011496182,1.5470152132126174,1.6276689331326608,1.3811831524487594,1.4617911747911165,1.6339849666612656,1.624956856695949,1.557480907991021,1.6301323871193052,1.3773450940467638,1.449437878999535,1.3447178038902654,1.389379137685007,1.3689738632855757,1.6344435513936908,1.6344507832179591,1.5671254998293342,1.6324226753160778,1.3590766594703128,1.5757607383604295,1.469990720567659,1.5948126810889924,1.3604516388556893,1.6343632268309722,1.6310168698533172,1.5668490285434622,1.536453661011147,1.4333130026351784,1.498814663152002,1.6109857157434497,1.495646159559091,1.6158848757318545,1.5012252658972738,1.5364975811106358,1.3709555337227046,1.350333710910531,1.58611643487402,1.5980384329295525,1.3458046988430274,1.5557865369237076,1.514133727631073,1.5557319131373566,1.6107398585323676,1.3775476699369231,1.6330300822856625,1.6331309787412165,1.4524828685134707,1.3981308575875833,1.5384516053463662,1.6343233974360283
8,85000000000.0,1.6471792474892801,1.547899774758144,1.6366737923280175,1.377353320367913,1.4594452341452522,1.6457128773780711,1.6333106655314849,1.558956112938679,1.6460333106604272,1.3734712979624781,1.4467866157124583,1.3405533226895097,1.3856504649023744,1.3650115222927672,1.6470482088444864,1.6471638798077661,1.5692036062840593,1.6430811760348973,1.3550222775045953,1.5784359051298225,1.4678657479046588,1.5990636070899793,1.3564092408854806,1.6466574002459584,1.6465669794485285,1.5689089702614893,1.536798843129156,1.430309515991425,1.4975966148608517,1.617025575533897,1.494317614148322,1.6226115360243272,1.500093230825792,1.5368449001122686,1.3670132550384428,1.3462090577279717,1.589596114782709,1.6026034459504537,1.3416476065896674,1.5571619251741877,1.5134925983465255,1.5571041117465878,1.6167475939811213,1.373676140806399,1.6475599939867491,1.6441837958104006,1.4499038975732699,1.3945214527096788,1.538894856669085,1.6475884726421448
9,86250000000.0,1.661420045687617,1.5497132052986358,1.6451736043132303,1.3769732915319006,1.4593565344663915,1.656745667136324,1.641221738538025,1.5611906373853441,1.661144438039024,1.37310255207931,1.4465792036500775,1.3403574304938721,1.385253128682308,1.3646742159278307,1.6589189885550324,1.659139024155912,1.5718828502148032,1.653106229307944,1.3547338587629831,1.581568655195247,1.4678733961757804,1.603446405492244,1.356113288402435,1.658230231511154,1.6613266976758176,1.5715746133610324,1.5382421508835018,1.4299914073404945,1.498068180792396,1.6229044671261297,1.4947277694631758,1.6290831225397018,1.5006133976267289,1.5382896443363279,1.3666676721498305,1.3459740066343329,1.5933581737651974,1.6072434947373968,1.3414438428907822,1.5593242201018738,1.5143023053431155,1.5592641054674388,1.6225989958742013,1.3733067495854439,1.661306543224534,1.6545785411414653,1.4497229067822457,1.3941161602453236,1.5404043436140813,1.660097266173276
