,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50
0,75000000000.0,1.5558627837855,1.5741027066810371,1.580887810320558,1.572245683653959,1.4725251831899069,1.5137585295210068,1.5723480972969153,1.551630373882535,1.5807435669322345,1.5590183848835402,1.536174892899954,1.5743716138487347,1.55284502438046,1.494010399621601,1.5418004969145471,1.5730814574365226,1.5807943314599457,1.578208449864479,1.4978862985642545,1.5336029797297526,1.5548058306957913,1.5627931661727308,1.5227734814783958,1.5602419377809174,1.5762735125743657,1.5756489195968122,1.562966559573618,1.5518723279125641,1.578565585122842,1.5462352006872155,1.4852381225559181,1.5808615763249714,1.5788116802163934,1.5806482249301617,1.548344005824374,1.5338343955035505,1.5323513560302855,1.5478408155080974,1.5352888216482032,1.5413295036551702,1.5196041226208328,1.513072356545882,1.5340723296662784,1.5682105410783969,1.5781542221483775,1.5740728143263194,1.5596226454454465,1.501063964118762,1.517063745815162,1.5808815993924377,1.4903594215873683
1,76250000000.0,1.5573006687403534,1.5765606400351722,1.5844292207352675,1.574558603765487,1.471905439371727,1.5139292897387335,1.5746685645694036,1.5529002160749634,1.5841708586268597,1.56059219669379,1.5369281353727988,1.5768521818852879,1.5541616062842651,1.4937678905041123,1.5427274199008263,1.5754574051016856,1.5842517088228645,1.5810887909707763,1.4977192171262947,1.5342812059634143,1.5562003408315315,1.5645446432289605,1.523160862250176,1.5618713566186422,1.5789302230788689,1.5782442484290158,1.5647266629763363,1.5531513915382664,1.581495471571965,1.547309781055704,1.484833702799758,1.5845717996819308,1.5817779814736577,1.584029499225764,1.5494926727951892,1.534519268123561,1.5329939760634739,1.5489715583411217,1.5360159301478946,1.5422413354906226,1.519912992335695,1.5132274362220484,1.5347640567578686,1.5702566286313688,1.58102733900831,1.5765282604269135,1.5612236993511823,1.5009606469330166,1.5173115728919102,1.5845692214278566,1.4900480960851894
2,77500000000.0,1.5719297493208746,1.5954402560007828,1.6084332983480145,1.5927986715030775,1.480162293240558,1.5242016565035166,1.5929416393852671,1.5668875910652975,1.6076069656174565,1.5757530701259177,1.549058604179029,1.5958326343939147,1.5683256891126152,1.5029023960564367,1.555461852765998,1.593974059744908,1.6078369127783694,1.6018945006672387,1.507048710037874,1.5461575247818469,1.570662099903933,1.5804172503823892,1.5340922915158304,1.5772529893567784,1.5987046181006153,1.5977401215361553,1.5806342986954407,1.5671735201274695,1.6025331647483778,1.5605741459398348,1.4935707028867748,1.6094281527932086,1.6029869815415934,1.6072384421902588,1.563028436287342,1.5464179370000797,1.5447511212170344,1.5624413292082868,1.5480573900417323,1.554922447266077,1.530600947235761,1.5234536741675493,1.5466858097427916,1.587349631692561,1.6017993284885048,1.5953968123626368,1.5764924933835947,1.5104595888385866,1.527813808670113,1.6093106315599905,1.4990100507902673
3,78750000000.0,1.5779552792302864,1.6004250264648643,1.6127114716562794,1.5979081177734082,1.4897628971225778,1.5321363405081714,1.5980444145399693,1.5731234272736756,1.6119413913292704,1.581616973154894,1.5560184721984334,1.6007986075131448,1.5745018440453247,1.5116507595325137,1.5621646734736072,1.5990284113093371,1.6121561005182248,1.606557381153425,1.51563995292518,1.5532329289851334,1.5767407886760156,1.586080969424485,1.5416428943430502,1.5830529050947317,1.6035303491672952,1.6026135148775236,1.5862886108869956,1.5733975083590312,1.607162235623178,1.567069478916216,1.5026706578516933,1.6136307999054367,1.607591723606136,1.611596741151434,1.5694233522288545,1.5534829921534563,1.551882344877117,1.5688603174288913,1.555057193043849,1.5616470372718154,1.5382876422204126,1.5314172281639244,1.553740214922025,1.5927080404397578,1.6064672071486983,1.6003836592629486,1.5823248956760074,1.518921140995135,1.535608736220916,1.6135228597451041,1.5079053988064304
4,80000000000.0,1.5824961587761741,1.6053208027990018,1.6182549533782904,1.6027376543118321,1.4945870733599724,1.536653914933904,1.6028772747583964,1.5776321742931887,1.6174042888859879,1.5861895944810644,1.5604809428615605,1.6057051728019345,1.5790187246593894,1.5162899730406352,1.5666334711789491,1.6038861228794026,1.6176399647985336,1.6116741226125353,1.5202511468936555,1.557695722392685,1.5812726120202125,1.590702583337946,1.5461253891688673,1.5876399576410103,1.608524971908217,1.6075766310156978,1.5909128156319667,1.5779078104465174,1.612307574500546,1.5715511366707433,1.5073796848285848,1.6192987313003944,1.6127584347764088,1.6170279549241646,1.5739139615596371,1.557945680706914,1.5563459554337524,1.5733486105936056,1.5595195626948721,1.5661149021487442,1.5427807454437874,1.5359380639307378,1.5582028109685275,1.5974289535936532,1.6115798252523712,1.6052782573991595,1.5869044831439272,1.523510764866503,1.5401117250473546,1.6191737670940358,1.5125726305696476
5,81250000000.0,1.5799197622183396,1.6017675004925294,1.6135206760013907,1.5993315675821307,1.4934558238272766,1.5350711430476327,1.5994635916806723,1.5752028269550207,1.6128009816355446,1.5834912228328784,1.5584760157581405,1.6021286541512698,1.5765489001715927,1.5149634431888988,1.5644907113366504,1.600416376601982,1.6130022779179696,1.607677165436581,1.5188808933551303,1.5557487214487178,1.5787345729854882,1.5878408270324451,1.5443932792638553,1.5848909245878346,1.6047656150716159,1.6038814236462953,1.5880430145539808,1.5754705033772844,1.6082571588826515,1.5692872605259927,1.506141961671965,1.614367906311109,1.608668540430847,1.6124770268064852,1.5715880004764409,1.5559935876328237,1.5544260999390875,1.57103774923107,1.557534927974415,1.5639843201181471,1.5411038656438578,1.5343657235409036,1.5562454581242722,1.5942867430378491,1.607590638231475,1.601727502365855,1.5841813469767712,1.522102442036977,1.5384769276746868,1.6142694508232631,1.5112847095691933
6,82500000000.0,1.5719728866521347,1.5976997514451794,1.6129690557377203,1.5947477549082851,1.4754249235804895,1.5213637941683398,1.5949069140504177,1.5665576732815103,1.6119063291479965,1.5760962109837529,1.5475656529076613,1.5981404508267807,1.5680997795572347,1.499084036952063,1.554362774140102,1.59605823707492,1.6121986705979463,1.6050501565243567,1.5034111808284252,1.5444934983146321,1.5706091781543838,1.581150240996117,1.5317591975739617,1.577718421270106,1.6013872897776595,1.60029239954744,1.581386154077593,1.566864137695171,1.605793177682152,1.5598076007267165,1.4893610375341002,1.6143122473134093,1.6063235964858724,1.611442269351529,1.5624279657330895,1.5447690915332086,1.5430056866780126,1.5618007258160307,1.546504906759719,1.5537892641442268,1.5280855755185625,1.5205790434646265,1.54505261567027,1.588723660596115,1.6049397550103692,1.5976509958399772,1.576895576530273,1.5069742429452804,1.5251561960261266,1.6141481818192198,1.4950259150145313
7,83750000000.0,1.5755911025498506,1.605467206935459,1.6252956010620103,1.6019168643823125,1.471169334960715,1.5200396721204728,1.602107095885386,1.5695060786327044,1.623745163328298,1.5802591596702609,1.5484812367350242,1.6060015501411682,1.5712340793192041,1.4962098074935195,1.5559572120600933,1.603487067256534,1.6241659050847321,1.6145763198431418,1.5008171841757108,1.5451173687817494,1.5740541166149544,1.586029064040499,1.5312610107124227,1.5821049615988967,1.6099794272573043,1.6086293229097421,1.5862998459601227,1.569849193673372,1.6155271719504078,1.5619828745282334,1.4858896525213252,1.6273636395215068,1.6162105508807878,1.623084953447699,1.564895916941886,1.545418770397477,1.5434914200283236,1.5641977928617425,1.5473187599834848,1.5553245275510506,1.5272870401769882,1.51919547595811,1.545728918557085,1.5947990360644555,1.6144356416204317,1.6054081652187318,1.5811680100058512,1.504618115625525,1.5241249176762572,1.627102291482962,1.4918971318247003
8,85000000000.0,1.5782539489077507,1.6108293093497137,1.6337245863664434,1.606883862886388,1.4690773834006565,1.5196414104382088,1.6070945669433208,1.5717429260734903,1.6318415572077676,1.5832706219777641,1.549444958783294,1.6114256530562994,1.573588852769186,1.4949007091060533,1.5573425778117347,1.6086253408372944,1.63234975998005,1.621110039826955,1.4996704681288753,1.5459010728729652,1.576606471615566,1.5895014832267567,1.5313593633600906,1.58526005933395,1.6158890435574786,1.6143691408358576,1.589794796602666,1.572109272480759,1.6222003241150729,1.563731867994246,1.4842383323348454,1.6362888343052013,1.62298645151931,1.6310478776543764,1.5668290905151139,1.5462183717103226,1.5441901338637916,1.5660863023768758,1.5482196215204063,1.5566729927714507,1.5272039811597935,1.5187617519320469,1.54654492550263,1.5990486690050592,1.6209490660842727,1.610763460012814,1.5842497666266402,1.5036100698170536,1.523901916522659,1.6359607580409818,1.4904414977034683
9,86250000000.0,1.5813772188006554,1.616132855754413,1.6417032842857666,1.6118566722697867,1.4691000897306339,1.5206012473718225,1.6120844257685458,1.5745415345240144,1.639521793815905,1.5866640193369237,1.551313916418251,1.6167814186164158,1.5764767135740314,1.4953215866790666,1.5595120739052173,1.6137410859359003,1.6401083011418793,1.6274141785532747,1.500182291474307,1.5476441879446634,1.5796449451183832,1.5932577762428621,1.5326384630460932,1.5887658561078128,1.6216566147144493,1.6199921171835445,1.5935689874700643,1.5749254250463531,1.6286253999438143,1.566166598032414,1.4844762459594258,1.6447162360737884,1.6295008877674326,1.6386088701954318,1.5694001546256704,1.5479725374586635,1.5458743789928677,1.5686241864651824,1.5500444615964926,1.5588158772593996,1.5283646572875198,1.519699407001474,1.5483105081643669,1.6034304134789967,1.627235633079366,1.616061277979975,1.5876980930557327,1.5042014689674992,1.5249726275200703,1.6443275863653608,1.49078251668492
