,freq,eps_r_old,epsilon_i,epsilon_r
0,75000000000,2.17856517,0,2.3
1,75025000000,2.1771606611,0,2.3
2,75050000000,2.1758226428,0,2.3
3,75075000000,2.1745508141,0,2.3
4,75100000000,2.1733448065,0,2.3
5,75125000000,2.1722041852,0,2.3
6,75150000000,2.1711284494,0,2.3
7,75175000000,2.1701170332,0,2.3
8,75200000000,2.1691693071,0,2.3
9,75225000000,2.1682845781,0,2.3
10,75250000000,2.167462092,0,2.3
11,75275000000,2.1667010338,0,2.3
12,75300000000,2.1660005294,0,2.3
13,75325000000,2.1653596475,0,2.3
14,75350000000,2.1647774005,0,2.3
15,75375000000,2.1642527466,0,2.3
16,75400000000,2.1637845916,0,2.3
17,75425000000,2.1633717904,0,2.3
18,75450000000,2.1630131495,0,2.3
19,75475000000,2.1627074283,0,2.3
20,75500000000,2.1624533418,0,2.3
21,75525000000,2.1622495625,0,2.3
22,75550000000,2.1620947224,0,2.3
23,75575000000,2.1619874156,0,2.3
24,75600000000,2.1619262005,0,2.3
25,75625000000,2.1619096021,0,2.3
26,75650000000,2.1619361143,0,2.3
27,75675000000,2.1620042028,0,2.3
28,75700000000,2.1621123068,0,2.3
29,75725000000,2.1622588423,0,2.3
30,75750000000,2.162442204,0,2.3
31,75775000000,2.1626607682,0,2.3
32,75800000000,2.1629128952,0,2.3
33,75825000000,2.1631969319,0,2.3
34,75850000000,2.1635112141,0,2.3
35,75875000000,2.1638540696,0,2.3
36,75900000000,2.1642238202,0,2.3
37,75925000000,2.1646187844,0,2.3
38,75950000000,2.1650372801,0,2.3
39,75975000000,2.1654776268,0,2.3
40,76000000000,2.1659381483,0,2.3
41,76025000000,2.1664171748,0,2.3
42,76050000000,2.1669130459,0,2.3
43,76075000000,2.1674241123,0,2.3
44,76100000000,2.1679487385,0,2.3
45,76125000000,2.168485305,0,2.3
46,76150000000,2.1690322105,0,2.3
47,76175000000,2.1695878742,0,2.3
48,76200000000,2.1701507378,0,2.3
49,76225000000,2.1707192675,0,2.3
50,76250000000,2.1712919563,0,2.3
51,76275000000,2.1718673256,0,2.3
52,76300000000,2.1724439273,0,2.3
53,76325000000,2.1730203456,0,2.3
54,76350000000,2.1735951987,0,2.3
55,76375000000,2.1741671405,0,2.3
56,76400000000,2.1747348622,0,2.3
57,76425000000,2.1752970938,0,2.3
58,76450000000,2.1758526055,0,2.3
59,76475000000,2.1764002093,0,2.3
60,76500000000,2.1769387601,0,2.3
61,76525000000,2.177467157,0,2.3
62,76550000000,2.1779843442,0,2.3
63,76575000000,2.1784893123,0,2.3
64,76600000000,2.1789810995,0,2.3
65,76625000000,2.1794587918,0,2.3
66,76650000000,2.1799215242,0,2.3
67,76675000000,2.1803684817,0,2.3
68,76700000000,2.1807988992,0,2.3
69,76725000000,2.1812120627,0,2.3
70,76750000000,2.1816073092,0,2.3
71,76775000000,2.1819840275,0,2.3
72,76800000000,2.1823416582,0,2.3
73,76825000000,2.1826796939,0,2.3
74,76850000000,2.1829976793,0,2.3
75,76875000000,2.1833294166,0.0004511732,2.3
76,76900000000,2.1836457113,0.0009749308,2.3
77,76925000000,2.1839412617,0.0015054675,2.3
78,76950000000,2.1842157693,0.0020421605,2.3
79,76975000000,2.1844689859,0.0025843687,2.3
80,77000000000,2.1847007132,0.0031314343,2.3
81,77025000000,2.1849108026,0.0036826846,2.3
82,77050000000,2.1850991546,0.0042374342,2.3
83,77075000000,2.185265718,0.004794987,2.3
84,77100000000,2.1854104898,0.0053546379,2.3
85,77125000000,2.1855335138,0.005915675,2.3
86,77150000000,2.1856348803,0.0064773818,2.3
87,77175000000,2.1857147248,0.0070390391,2.3
88,77200000000,2.1857732273,0.0075999276,2.3
89,77225000000,2.1858106109,0.0081593293,2.3
90,77250000000,2.1858271409,0.0087165302,2.3
91,77275000000,2.1858231235,0.0092708221,2.3
92,77300000000,2.1857989043,0.0098215049,2.3
93,77325000000,2.1857548671,0.0103678886,2.3
94,77350000000,2.1856914323,0.0109092953,2.3
95,77375000000,2.1856090554,0.0114450611,2.3
96,77400000000,2.1855082255,0.0119745386,2.3
97,77425000000,2.1853894634,0.0124970978,2.3
98,77450000000,2.1852533201,0.0130121289,2.3
99,77475000000,2.1851003748,0.0135190438,2.3
100,77500000000,2.1849312332,0.0140172773,2.3
101,77525000000,2.1847465256,0.0145062893,2.3
102,77550000000,2.1845469049,0.0149855663,2.3
103,77575000000,2.1843330446,0.0154546223,2.3
104,77600000000,2.1841056371,0.0159130009,2.3
105,77625000000,2.1838653912,0.016360276,2.3
106,77650000000,2.1836130302,0.0167960529,2.3
107,77675000000,2.1833492902,0.0172199698,2.3
108,77700000000,2.1830749175,0.0176316982,2.3
109,77725000000,2.1827906667,0.0180309441,2.3
110,77750000000,2.1824972987,0.0184174484,2.3
111,77775000000,2.1821955783,0.0187909875,2.3
112,77800000000,2.1818862727,0.019151374,2.3
113,77825000000,2.1815701485,0.0194984564,2.3
114,77850000000,2.1812479708,0.0198321201,2.3
115,77875000000,2.1809205003,0.020152287,2.3
116,77900000000,2.1805884914,0.0204589152,2.3
117,77925000000,2.1802526907,0.0207519995,2.3
118,77950000000,2.1799138349,0.0210315705,2.3
119,77975000000,2.1795726485,0.0212976945,2.3
120,78000000000,2.1792298426,0.021550473,2.3
121,78025000000,2.1788861129,0.0217900418,2.3
122,78050000000,2.1785421379,0.0220165706,2.3
123,78075000000,2.1781985774,0.0222302617,2.3
124,78100000000,2.1778560711,0.0224313495,2.3
125,78125000000,2.1775152367,0.0226200992,2.3
126,78150000000,2.177176669,0.0227968057,2.3
127,78175000000,2.1768409381,0.0229617925,2.3
128,78200000000,2.1765085885,0.02311541,2.3
129,78225000000,2.1761801379,0.0232580347,2.3
130,78250000000,2.1758560762,0.0233900673,2.3
131,78275000000,2.1755368642,0.0235119312,2.3
132,78300000000,2.1752229332,0.023624071,2.3
133,78325000000,2.1749146838,0.0237269512,2.3
134,78350000000,2.1746124855,0.0238210537,2.3
135,78375000000,2.1743166762,0.023906877,2.3
136,78400000000,2.1740275614,0.0239849338,2.3
137,78425000000,2.1737454138,0.0240557494,2.3
138,78450000000,2.1734704735,0.0241198599,2.3
139,78475000000,2.1732029472,0.0241778106,2.3
140,78500000000,2.1729430086,0.0242301536,2.3
141,78525000000,2.172690798,0.0242774466,2.3
142,78550000000,2.1724464227,0.0243202505,2.3
143,78575000000,2.1722099569,0.024359128,2.3
144,78600000000,2.1719814423,0.0243946416,2.3
145,78625000000,2.1717608881,0.0244273515,2.3
146,78650000000,2.1715482716,0.0244578146,2.3
147,78675000000,2.1713435391,0.0244865817,2.3
148,78700000000,2.1711466056,0.0245141968,2.3
149,78725000000,2.1709573566,0.0245411948,2.3
150,78750000000,2.1707756479,0.0245680997,2.3
151,78775000000,2.170601307,0.0245954239,2.3
152,78800000000,2.1704341339,0.0246236655,2.3
153,78825000000,2.170273902,0.0246533077,2.3
154,78850000000,2.1701203592,0.0246848169,2.3
155,78875000000,2.1699732287,0.0247186416,2.3
156,78900000000,2.1698322107,0.0247552107,2.3
157,78925000000,2.1696969832,0.0247949329,2.3
158,78950000000,2.1695672032,0.0248381949,2.3
159,78975000000,2.1694425085,0.0248853604,2.3
160,79000000000,2.1693225184,0.0249367695,2.3
161,79025000000,2.1692068354,0.0249927373,2.3
162,79050000000,2.1690950466,0.0250535534,2.3
163,79075000000,2.1689867252,0.0251194806,2.3
164,79100000000,2.1688814317,0.0251907547,2.3
165,79125000000,2.1687787157,0.0252675838,2.3
166,79150000000,2.1686781172,0.0253501473,2.3
167,79175000000,2.1685791681,0.025438596,2.3
168,79200000000,2.1684813941,0.0255330514,2.3
169,79225000000,2.1683843157,0.0256336057,2.3
170,79250000000,2.1682874501,0.0257403212,2.3
171,79275000000,2.1681903126,0.0258532305,2.3
172,79300000000,2.1680924184,0.0259723363,2.3
173,79325000000,2.1679932836,0.0260976118,2.3
174,79350000000,2.1678924273,0.0262290001,2.3
175,79375000000,2.1677893728,0.0263664152,2.3
176,79400000000,2.1676836491,0.0265097421,2.3
177,79425000000,2.1675747924,0.0266588368,2.3
178,79450000000,2.1674623477,0.0268135273,2.3
179,79475000000,2.1673458699,0.0269736137,2.3
180,79500000000,2.1672249256,0.0271388692,2.3
181,79525000000,2.1670990939,0.0273090406,2.3
182,79550000000,2.1669679683,0.027483849,2.3
183,79575000000,2.1668311575,0.027662991,2.3
184,79600000000,2.166688287,0.0278461392,2.3
185,79625000000,2.1665389999,0.0280329433,2.3
186,79650000000,2.1663829583,0.0282230314,2.3
187,79675000000,2.1662198443,0.0284160109,2.3
188,79700000000,2.166049361,0.0286114694,2.3
189,79725000000,2.1658712336,0.0288089766,2.3
190,79750000000,2.1656852098,0.0290080849,2.3
191,79775000000,2.1654910614,0.029208331,2.3
192,79800000000,2.1652885845,0.0294092374,2.3
193,79825000000,2.1650776002,0.0296103136,2.3
194,79850000000,2.1648579556,0.0298110575,2.3
195,79875000000,2.1646295241,0.0300109571,2.3
196,79900000000,2.1643922059,0.0302094919,2.3
197,79925000000,2.1641459285,0.0304061341,2.3
198,79950000000,2.1638906468,0.0306003508,2.3
199,79975000000,2.1636263438,0.0307916049,2.3
200,80000000000,2.1633530301,0.0309793573,2.3
201,80025000000,2.1630707449,0.0311630679,2.3
202,80050000000,2.162779555,0.0313421975,2.3
203,80075000000,2.1624795557,0.0315162092,2.3
204,80100000000,2.1621708699,0.0316845702,2.3
205,80125000000,2.1618536482,0.0318467531,2.3
206,80150000000,2.1615280688,0.0320022378,2.3
207,80175000000,2.1611943368,0.0321505125,2.3
208,80200000000,2.1608526838,0.0322910756,2.3
209,80225000000,2.1605033673,0.032423437,2.3
210,80250000000,2.1601466706,0.0325471196,2.3
211,80275000000,2.1597829012,0.0326616605,2.3
212,80300000000,2.159412391,0.0327666127,2.3
213,80325000000,2.1590354949,0.032861546,2.3
214,80350000000,2.15865259,0.0329460485,2.3
215,80375000000,2.1582640747,0.0330197277,2.3
216,80400000000,2.1578703677,0.0330822116,2.3
217,80425000000,2.157471907,0.0331331499,2.3
218,80450000000,2.1570691487,0.0331722147,2.3
219,80475000000,2.1566625656,0.033199102,2.3
220,80500000000,2.1562526464,0.0332135318,2.3
221,80525000000,2.1558398941,0.0332152495,2.3
222,80550000000,2.1554248247,0.0332040264,2.3
223,80575000000,2.1550079662,0.0331796604,2.3
224,80600000000,2.1545898568,0.0331419762,2.3
225,80625000000,2.1541710435,0.0330908264,2.3
226,80650000000,2.1537520813,0.0330260914,2.3
227,80675000000,2.1533335308,0.0329476799,2.3
228,80700000000,2.1529159576,0.0328555292,2.3
229,80725000000,2.1524999301,0.032749605,2.3
230,80750000000,2.1520860188,0.032629902,2.3
231,80775000000,2.1516747942,0.0324964433,2.3
232,80800000000,2.1512668254,0.0323492809,2.3
233,80825000000,2.1508626792,0.032188495,2.3
234,80850000000,2.150462918,0.032014194,2.3
235,80875000000,2.1500680986,0.0318265141,2.3
236,80900000000,2.1496787711,0.031625619,2.3
237,80925000000,2.149295477,0.0314116991,2.3
238,80950000000,2.1489187484,0.0311849714,2.3
239,80975000000,2.1485491061,0.0309456784,2.3
240,81000000000,2.1481870591,0.0306940879,2.3
241,81025000000,2.1478331026,0.0304304917,2.3
242,81050000000,2.1474877173,0.0301552052,2.3
243,81075000000,2.1471513684,0.0298685665,2.3
244,81100000000,2.1468245038,0.0295709352,2.3
245,81125000000,2.146507554,0.0292626917,2.3
246,81150000000,2.1462009305,0.028944236,2.3
247,81175000000,2.1459050252,0.0286159868,2.3
248,81200000000,2.1456202094,0.0282783804,2.3
249,81225000000,2.1453468331,0.0279318693,2.3
250,81250000000,2.1450852244,0.0275769213,2.3
251,81275000000,2.1448356886,0.0272140184,2.3
252,81300000000,2.1445985079,0.0268436553,2.3
253,81325000000,2.1443739406,0.0264663382,2.3
254,81350000000,2.1441622209,0.0260825838,2.3
255,81375000000,2.1439635585,0.0256929179,2.3
256,81400000000,2.1437781381,0.0252978741,2.3
257,81425000000,2.1436061195,0.0248979926,2.3
258,81450000000,2.1434476368,0.024493819,2.3
259,81475000000,2.1433027993,0.0240859026,2.3
260,81500000000,2.1431716904,0.023674796,2.3
261,81525000000,2.1430543685,0.0232610529,2.3
262,81550000000,2.1429508663,0.0228452276,2.3
263,81575000000,2.1428611917,0.0224278734,2.3
264,81600000000,2.1427853275,0.0220095414,2.3
265,81625000000,2.142723232,0.0215907797,2.3
266,81650000000,2.1426748391,0.0211721317,2.3
267,81675000000,2.1426400586,0.0207541354,2.3
268,81700000000,2.1426187771,0.0203373221,2.3
269,81725000000,2.1426108581,0.0199222155,2.3
270,81750000000,2.1426161427,0.0195093305,2.3
271,81775000000,2.1426344501,0.0190991722,2.3
272,81800000000,2.1426655783,0.0186922353,2.3
273,81825000000,2.1427093046,0.0182890026,2.3
274,81850000000,2.1427653869,0.0178899447,2.3
275,81875000000,2.1428335636,0.0174955186,2.3
276,81900000000,2.1429135551,0.0171061675,2.3
277,81925000000,2.1430050642,0.0167223195,2.3
278,81950000000,2.1431077772,0.0163443875,2.3
279,81975000000,2.1432213648,0.0159727678,2.3
280,82000000000,2.1433454825,0.0156078402,2.3
281,82025000000,2.1434797724,0.015249967,2.3
282,82050000000,2.1436238634,0.0148994926,2.3
283,82075000000,2.1437773724,0.0145567431,2.3
284,82100000000,2.1439399054,0.0142220257,2.3
285,82125000000,2.1441110586,0.0138956286,2.3
286,82150000000,2.1442904188,0.0135778203,2.3
287,82175000000,2.144477565,0.0132688499,2.3
288,82200000000,2.1446720694,0.0129689463,2.3
289,82225000000,2.144873498,0.0126783181,2.3
290,82250000000,2.1450814118,0.0123971538,2.3
291,82275000000,2.1452953681,0.0121256215,2.3
292,82300000000,2.1455149211,0.0118638688,2.3
293,82325000000,2.1457396231,0.011612023,2.3
294,82350000000,2.1459690255,0.0113701908,2.3
295,82375000000,2.1462026796,0.0111384589,2.3
296,82400000000,2.1464401378,0.0109168938,2.3
297,82425000000,2.1466809544,0.0107055418,2.3
298,82450000000,2.1469246867,0.0105044298,2.3
299,82475000000,2.1471708955,0.010313565,2.3
300,82500000000,2.1474191467,0.0101329356,2.3
301,82525000000,2.1476690113,0.0099625109,2.3
302,82550000000,2.147920067,0.0098022417,2.3
303,82575000000,2.1481718987,0.0096520609,2.3
304,82600000000,2.1484240991,0.0095118837,2.3
305,82625000000,2.14867627,0.0093816084,2.3
306,82650000000,2.1489280223,0.0092611165,2.3
307,82675000000,2.1491789774,0.0091502735,2.3
308,82700000000,2.1494287674,0.0090489297,2.3
309,82725000000,2.1496770362,0.0089569202,2.3
310,82750000000,2.1499234394,0.0088740661,2.3
311,82775000000,2.1501676454,0.0088001749,2.3
312,82800000000,2.1504093361,0.0087350412,2.3
313,82825000000,2.1506482067,0.0086784473,2.3
314,82850000000,2.1508839666,0.0086301642,2.3
315,82875000000,2.1511163399,0.008589952,2.3
316,82900000000,2.1513450654,0.0085575609,2.3
317,82925000000,2.1515698974,0.0085327318,2.3
318,82950000000,2.1517906056,0.0085151972,2.3
319,82975000000,2.1520069754,0.0085046818,2.3
320,83000000000,2.1522188083,0.0085009035,2.3
321,83025000000,2.1524259219,0.0085035742,2.3
322,83050000000,2.1526281502,0.0085124003,2.3
323,83075000000,2.1528253434,0.0085270839,2.3
324,83100000000,2.1530173683,0.0085473233,2.3
325,83125000000,2.1532041079,0.0085728139,2.3
326,83150000000,2.1533854618,0.0086032493,2.3
327,83175000000,2.1535613457,0.0086383215,2.3
328,83200000000,2.1537316916,0.0086777221,2.3
329,83225000000,2.1538964475,0.0087211429,2.3
330,83250000000,2.1540555773,0.0087682771,2.3
331,83275000000,2.1542090603,0.0088188192,2.3
332,83300000000,2.1543568915,0.0088724665,2.3
333,83325000000,2.1544990805,0.0089289197,2.3
334,83350000000,2.1546356519,0.0089878832,2.3
335,83375000000,2.1547666444,0.0090490662,2.3
336,83400000000,2.154892111,0.0091121832,2.3
337,83425000000,2.1550121177,0.0091769546,2.3
338,83450000000,2.1551267438,0.0092431074,2.3
339,83475000000,2.1552360811,0.0093103759,2.3
340,83500000000,2.1553402334,0.009378502,2.3
341,83525000000,2.1554393159,0.0094472358,2.3
342,83550000000,2.1555334549,0.0095163363,2.3
343,83575000000,2.1556227868,0.0095855717,2.3
344,83600000000,2.1557074579,0.00965472,2.3
345,83625000000,2.1557876234,0.0097235691,2.3
346,83650000000,2.1558634471,0.0097919176,2.3
347,83675000000,2.1559351005,0.0098595748,2.3
348,83700000000,2.1560027623,0.0099263612,2.3
349,83725000000,2.1560666176,0.0099921087,2.3
350,83750000000,2.1561268572,0.0100566609,2.3
351,83775000000,2.1561836771,0.0101198731,2.3
352,83800000000,2.1562372776,0.0101816129,2.3
353,83825000000,2.1562878627,0.0102417599,2.3
354,83850000000,2.1563356393,0.0103002058,2.3
355,83875000000,2.1563808167,0.010356855,2.3
356,83900000000,2.1564236057,0.010411624,2.3
357,83925000000,2.1564642179,0.0104644416,2.3
358,83950000000,2.1565028653,0.0105152489,2.3
359,83975000000,2.1565397593,0.0105639994,2.3
360,84000000000,2.1565751102,0.0106106585,2.3
361,84025000000,2.1566091266,0.0106552035,2.3
362,84050000000,2.1566420146,0.0106976235,2.3
363,84075000000,2.1566739772,0.0107379193,2.3
364,84100000000,2.1567052139,0.0107761028,2.3
365,84125000000,2.15673592,0.010812197,2.3
366,84150000000,2.1567662859,0.0108462357,2.3
367,84175000000,2.1567964967,0.0108782628,2.3
368,84200000000,2.1568267318,0.0109083328,2.3
369,84225000000,2.1568571641,0.0109365093,2.3
370,84250000000,2.1568879599,0.0109628654,2.3
371,84275000000,2.1569192781,0.0109874832,2.3
372,84300000000,2.15695127,0.0110104529,2.3
373,84325000000,2.156984079,0.0110318728,2.3
374,84350000000,2.15701784,0.0110518488,2.3
375,84375000000,2.1570526792,0.0110704934,2.3
376,84400000000,2.1570887139,0.0110879259,2.3
377,84425000000,2.1571260521,0.0111042714,2.3
378,84450000000,2.1571647923,0.0111196605,2.3
379,84475000000,2.1572050234,0.0111342284,2.3
380,84500000000,2.1572468243,0.0111481151,2.3
381,84525000000,2.1572902641,0.0111614639,2.3
382,84550000000,2.1573354016,0.0111744217,2.3
383,84575000000,2.1573822858,0.0111871378,2.3
384,84600000000,2.1574309551,0.0111997639,2.3
385,84625000000,2.1574814379,0.0112124531,2.3
386,84650000000,2.1575337526,0.0112253594,2.3
387,84675000000,2.157587907,0.0112386376,2.3
388,84700000000,2.1576438994,0.0112524422,2.3
389,84725000000,2.1577017177,0.011266927,2.3
390,84750000000,2.1577613404,0.0112822451,2.3
391,84775000000,2.1578227361,0.0112985475,2.3
392,84800000000,2.157885864,0.0113159833,2.3
393,84825000000,2.1579506743,0.0113346991,2.3
394,84850000000,2.158017108,0.0113548382,2.3
395,84875000000,2.1580850976,0.0113765404,2.3
396,84900000000,2.158154567,0.0113999416,2.3
397,84925000000,2.1582254321,0.0114251733,2.3
398,84950000000,2.1582976011,0.011452362,2.3
399,84975000000,2.1583709748,0.0114816293,2.3
400,85000000000,2.1584454468,0.011513091,2.3
401,85025000000,2.1585209042,0.0115468571,2.3
402,85050000000,2.1585972278,0.0115830314,2.3
403,85075000000,2.1586742926,0.0116217111,2.3
404,85100000000,2.1587519683,0.0116629868,2.3
405,85125000000,2.1588301194,0.0117069419,2.3
406,85150000000,2.158908606,0.0117536525,2.3
407,85175000000,2.1589872842,0.0118031873,2.3
408,85200000000,2.1590660065,0.0118556073,2.3
409,85225000000,2.1591446221,0.0119109659,2.3
410,85250000000,2.1592229779,0.0119693083,2.3
411,85275000000,2.1593009182,0.0120306718,2.3
412,85300000000,2.159378286,0.0120950856,2.3
413,85325000000,2.1594549227,0.0121625706,2.3
414,85350000000,2.1595306694,0.0122331397,2.3
415,85375000000,2.1596053665,0.0123067975,2.3
416,85400000000,2.1596788548,0.0123835403,2.3
417,85425000000,2.1597509759,0.0124633565,2.3
