f,freq,alpha
0.462,462000000000,0.006
0.536,536000000000,0.016
0.634,634000000000,0.024
0.725,725000000000,0.029
0.804,804000000000,0.037
0.895,895000000000,0.047
0.978,978000000000,0.057
1.029,1029000000000,0.069
1.094,1094000000000,0.087
1.156,1156000000000,0.109
1.217,1217000000000,0.125
1.25,1250000000000,0.147
1.304,1304000000000,0.168
1.38,1380000000000,0.188
1.442,1442000000000,0.212
1.504,1504000000000,0.229
1.554,1554000000000,0.244
1.583,1583000000000,0.266
1.627,1627000000000,0.279
1.649,1649000000000,0.296
1.681,1681000000000,0.307
1.714,1714000000000,0.319
1.754,1754000000000,0.34
1.797,1797000000000,0.356
1.826,1826000000000,0.369
1.859,1859000000000,0.378
1.893,1893000000000,0.391
