freq            ,ref_ind         ,epsilon_r       ,epsilon_i     
+2.97997069e+011,2.153,4.635409,0
+3.02882267e+011,2.153,4.635409,0
+3.07767465e+011,2.153,4.635409,0
+3.12652662e+011,2.153,4.635409,0
+3.17537860e+011,2.153,4.635409,0
+3.22423058e+011,2.153,4.635409,0
+3.27308256e+011,2.153,4.635409,0
+3.32193454e+011,2.153,4.635409,0
+3.37078652e+011,2.153,4.635409,0
+3.41963850e+011,2.153,4.635409,0
+3.46849047e+011,2.153,4.635409,0
+3.51734245e+011,2.153,4.635409,0
+3.56619443e+011,2.153,4.635409,0
+3.61504641e+011,2.153,4.635409,0
+3.66389839e+011,2.153,4.635409,0
+3.71275037e+011,2.153,4.635409,0
+3.76160234e+011,2.153,4.635409,0
+3.81045432e+011,2.153,4.635409,0
+3.85930630e+011,2.153,4.635409,0
+3.90815828e+011,2.153,4.635409,0
+3.95701026e+011,2.153,4.635409,0
+4.00586224e+011,2.153,4.635409,0
+4.05471422e+011,2.153,4.635409,0
+4.10356619e+011,2.153,4.635409,0
+4.15241817e+011,2.153,4.635409,0
+4.20127015e+011,2.154,4.639716,0
+4.25012213e+011,2.154,4.639716,0
+4.29897411e+011,2.154,4.639716,0
+4.34782609e+011,2.154,4.639716,0
+4.39667807e+011,2.154,4.639716,0
+4.44553004e+011,2.154,4.639716,0
+4.49438202e+011,2.154,4.639716,0
+4.54323400e+011,2.154,4.639716,0
+4.59208598e+011,2.154,4.639716,0
+4.64093796e+011,2.154,4.639716,0
+4.68978994e+011,2.154,4.639716,0
+4.73864191e+011,2.154,4.639716,0
+4.78749389e+011,2.154,4.639716,0
+4.83634587e+011,2.154,4.639716,0
+4.88519785e+011,2.154,4.639716,0
+4.93404983e+011,2.154,4.639716,0
+4.98290181e+011,2.154,4.639716,0
+5.03175379e+011,2.154,4.639716,0
+5.08060576e+011,2.154,4.639716,0
+5.12945774e+011,2.154,4.639716,0
+5.17830972e+011,2.154,4.639716,0
+5.22716170e+011,2.154,4.639716,0
+5.27601368e+011,2.154,4.639716,0
+5.32486566e+011,2.154,4.639716,0
+5.37371764e+011,2.154,4.639716,0
+5.42256961e+011,2.154,4.639716,0
+5.47142159e+011,2.154,4.639716,0
+5.52027357e+011,2.154,4.639716,0
+5.56912555e+011,2.154,4.639716,0
+5.61797753e+011,2.154,4.639716,0
+5.66682951e+011,2.154,4.639716,0
+5.71568149e+011,2.154,4.639716,0
+5.76453346e+011,2.154,4.639716,0
+5.81338544e+011,2.154,4.639716,0
+5.86223742e+011,2.154,4.639716,0
+5.91108940e+011,2.154,4.639716,0
+5.95994138e+011,2.154,4.639716,0
+6.00879336e+011,2.154,4.639716,0
+6.05764533e+011,2.154,4.639716,0
+6.10649731e+011,2.154,4.639716,0
+6.15534929e+011,2.154,4.639716,0
+6.20420127e+011,2.154,4.639716,0
+6.25305325e+011,2.154,4.639716,0
+6.30190523e+011,2.154,4.639716,0
+6.35075721e+011,2.154,4.639716,0
+6.39960918e+011,2.154,4.639716,0
+6.44846116e+011,2.154,4.639716,0
+6.49731314e+011,2.154,4.639716,0
+6.54616512e+011,2.154,4.639716,0
+6.59501710e+011,2.154,4.639716,0
+6.64386908e+011,2.154,4.639716,0
+6.69272106e+011,2.154,4.639716,0
+6.74157303e+011,2.154,4.639716,0
+6.79042501e+011,2.154,4.639716,0
+6.83927699e+011,2.154,4.639716,0
+6.88812897e+011,2.154,4.639716,0
+6.93698095e+011,2.154,4.639716,0
+6.98583293e+011,2.154,4.639716,0
+7.03468490e+011,2.154,4.639716,0
+7.08353688e+011,2.154,4.639716,0
+7.13238886e+011,2.154,4.639716,0
+7.18124084e+011,2.154,4.639716,0
+7.23009282e+011,2.154,4.639716,0
+7.27894480e+011,2.154,4.639716,0
+7.32779678e+011,2.154,4.639716,0
+7.37664875e+011,2.154,4.639716,0
+7.42550073e+011,2.154,4.639716,0
+7.47435271e+011,2.154,4.639716,0
+7.52320469e+011,2.154,4.639716,0
+7.57205667e+011,2.154,4.639716,0
+7.62090865e+011,2.154,4.639716,0
+7.66976063e+011,2.154,4.639716,0
+7.71861260e+011,2.154,4.639716,0
+7.76746458e+011,2.154,4.639716,0
+7.81631656e+011,2.154,4.639716,0
+7.86516854e+011,2.155,4.644025,0
+7.91402052e+011,2.155,4.644025,0
+7.96287250e+011,2.155,4.644025,0
+8.01172447e+011,2.155,4.644025,0
+8.06057645e+011,2.155,4.644025,0
+8.10942843e+011,2.155,4.644025,0
+8.15828041e+011,2.155,4.644025,0
+8.20713239e+011,2.155,4.644025,0
+8.25598437e+011,2.155,4.644025,0
+8.30483635e+011,2.155,4.644025,0
+8.35368832e+011,2.155,4.644025,0
+8.40254030e+011,2.155,4.644025,0
+8.45139228e+011,2.155,4.644025,0
+8.50024426e+011,2.155,4.644025,0
+8.54909624e+011,2.155,4.644025,0
+8.59794822e+011,2.155,4.644025,0
+8.64680020e+011,2.155,4.644025,0
+8.69565217e+011,2.155,4.644025,0
+8.74450415e+011,2.155,4.644025,0
+8.79335613e+011,2.155,4.644025,0
+8.84220811e+011,2.155,4.644025,0
+8.89106009e+011,2.155,4.644025,0
+8.93991207e+011,2.155,4.644025,0
+8.98876404e+011,2.155,4.644025,0
+9.03761602e+011,2.155,4.644025,0
+9.08646800e+011,2.155,4.644025,0
+9.13531998e+011,2.155,4.644025,0
+9.18417196e+011,2.155,4.644025,0
+9.23302394e+011,2.155,4.644025,0
+9.28187592e+011,2.155,4.644025,0
+9.33072789e+011,2.155,4.644025,0
+9.37957987e+011,2.155,4.644025,0
+9.42843185e+011,2.155,4.644025,0
+9.47728383e+011,2.155,4.644025,0
+9.52613581e+011,2.155,4.644025,0
+9.57498779e+011,2.155,4.644025,0
+9.62383977e+011,2.155,4.644025,0
+9.67269174e+011,2.155,4.644025,0
+9.72154372e+011,2.155,4.644025,0
+9.77039570e+011,2.155,4.644025,0
+9.81924768e+011,2.155,4.644025,0
+9.86809966e+011,2.155,4.644025,0
+9.91695164e+011,2.155,4.644025,0
+9.96580362e+011,2.155,4.644025,0
+1.00146556e+012,2.155,4.644025,0
+1.00635076e+012,2.155,4.644025,0
+1.01123596e+012,2.155,4.644025,0
+1.01612115e+012,2.155,4.644025,0
+1.02100635e+012,2.155,4.644025,0
+1.02589155e+012,2.155,4.644025,0
+1.03077675e+012,2.155,4.644025,0
+1.03566194e+012,2.155,4.644025,0
+1.04054714e+012,2.155,4.644025,0
+1.04543234e+012,2.155,4.644025,0
+1.05031754e+012,2.155,4.644025,0
+1.05520274e+012,2.155,4.644025,0
+1.06008793e+012,2.155,4.644025,0
+1.06497313e+012,2.156,4.648336,0
+1.06985833e+012,2.156,4.648336,0
+1.07474353e+012,2.156,4.648336,0
+1.07962872e+012,2.156,4.648336,0
+1.08451392e+012,2.156,4.648336,0
+1.08939912e+012,2.156,4.648336,0
+1.09428432e+012,2.156,4.648336,0
+1.09916952e+012,2.156,4.648336,0
+1.10405471e+012,2.156,4.648336,0
+1.10893991e+012,2.156,4.648336,0
+1.11382511e+012,2.156,4.648336,0
+1.11871031e+012,2.156,4.648336,0
+1.12359551e+012,2.156,4.648336,0
+1.12848070e+012,2.156,4.648336,0
+1.13336590e+012,2.156,4.648336,0
+1.13825110e+012,2.156,4.648336,0
+1.14313630e+012,2.156,4.648336,0
+1.14802149e+012,2.156,4.648336,0
+1.15290669e+012,2.156,4.648336,0
+1.15779189e+012,2.156,4.648336,0
+1.16267709e+012,2.156,4.648336,0
+1.16756229e+012,2.156,4.648336,0
+1.17244748e+012,2.156,4.648336,0
+1.17733268e+012,2.156,4.648336,0
+1.18221788e+012,2.156,4.648336,0
+1.18710308e+012,2.156,4.648336,0
+1.19198828e+012,2.156,4.648336,0
+1.19687347e+012,2.156,4.648336,0
+1.20175867e+012,2.156,4.648336,0
+1.20664387e+012,2.156,4.648336,0
+1.21152907e+012,2.156,4.648336,0
+1.21641426e+012,2.156,4.648336,0
+1.22129946e+012,2.156,4.648336,0
+1.22618466e+012,2.156,4.648336,0
+1.23106986e+012,2.156,4.648336,0
+1.23595506e+012,2.157,4.652649,0
+1.24084025e+012,2.157,4.652649,0
+1.24572545e+012,2.157,4.652649,0
+1.25061065e+012,2.157,4.652649,0
+1.25549585e+012,2.157,4.652649,0
+1.26038105e+012,2.157,4.652649,0
+1.26526624e+012,2.157,4.652649,0
+1.27015144e+012,2.157,4.652649,0
+1.27503664e+012,2.157,4.652649,0
+1.27992184e+012,2.157,4.652649,0
+1.28480703e+012,2.157,4.652649,0
+1.28969223e+012,2.157,4.652649,0
+1.29457743e+012,2.157,4.652649,0
+1.29946263e+012,2.157,4.652649,0
+1.30434783e+012,2.157,4.652649,0
+1.30923302e+012,2.157,4.652649,0
+1.31411822e+012,2.157,4.652649,0
+1.31900342e+012,2.157,4.652649,0
+1.32388862e+012,2.157,4.652649,0
+1.32877382e+012,2.157,4.652649,0
+1.33365901e+012,2.157,4.652649,0
+1.33854421e+012,2.157,4.652649,0
+1.34342941e+012,2.157,4.652649,0
+1.34831461e+012,2.157,4.652649,0
+1.35319980e+012,2.157,4.652649,0
+1.35808500e+012,2.157,4.652649,0
+1.36297020e+012,2.157,4.652649,0
+1.36785540e+012,2.157,4.652649,0
+1.37274060e+012,2.157,4.652649,0
+1.37762579e+012,2.157,4.652649,0
+1.38251099e+012,2.157,4.652649,0
+1.38739619e+012,2.158,4.656964,0
+1.39228139e+012,2.158,4.656964,0
+1.39716659e+012,2.158,4.656964,0
+1.40205178e+012,2.158,4.656964,0
+1.40693698e+012,2.158,4.656964,0
+1.41182218e+012,2.158,4.656964,0
+1.41670738e+012,2.158,4.656964,0
+1.42159257e+012,2.158,4.656964,0
+1.42647777e+012,2.158,4.656964,0
+1.43136297e+012,2.158,4.656964,0
+1.43624817e+012,2.158,4.656964,0
+1.44113337e+012,2.158,4.656964,0
+1.44601856e+012,2.158,4.656964,0
+1.45090376e+012,2.158,4.656964,0
+1.45578896e+012,2.158,4.656964,0
+1.46067416e+012,2.158,4.656964,0
+1.46555936e+012,2.158,4.656964,0
+1.47044455e+012,2.158,4.656964,0
+1.47532975e+012,2.158,4.656964,0
+1.48021495e+012,2.158,4.656964,0
+1.48510015e+012,2.158,4.656964,0
+1.48998534e+012,2.158,4.656964,0
+1.49487054e+012,2.158,4.656964,0
+1.49975574e+012,2.159,4.661281,0
+1.50464094e+012,2.159,4.661281,0
+1.50952614e+012,2.159,4.661281,0
+1.51441133e+012,2.159,4.661281,0
+1.51929653e+012,2.159,4.661281,0
+1.52418173e+012,2.159,4.661281,0
+1.52906693e+012,2.159,4.661281,0
+1.53395213e+012,2.159,4.661281,0
+1.53883732e+012,2.159,4.661281,0
+1.54372252e+012,2.159,4.661281,0
+1.54860772e+012,2.159,4.661281,0
+1.55349292e+012,2.159,4.661281,0
+1.55837811e+012,2.159,4.661281,0
+1.56326331e+012,2.159,4.661281,0
+1.56814851e+012,2.159,4.661281,0
+1.57303371e+012,2.159,4.661281,0
+1.57791891e+012,2.159,4.661281,0
+1.58280410e+012,2.159,4.661281,0
+1.58768930e+012,2.159,4.661281,0
+1.59257450e+012,2.159,4.661281,0
+1.59745970e+012,2.159,4.661281,0
+1.60234489e+012,2.159,4.661281,0
+1.60723009e+012,2.159,4.661281,0
+1.61211529e+012,2.159,4.661281,0
+1.61700049e+012,2.159,4.661281,0
+1.62188569e+012,2.159,4.661281,0
+1.62677088e+012,2.159,4.661281,0
+1.63165608e+012,2.159,4.661281,0
+1.63654128e+012,2.159,4.661281,0
+1.64142648e+012,2.159,4.661281,0
+1.64631168e+012,2.159,4.661281,0
+1.65119687e+012,2.159,4.661281,0
+1.65608207e+012,2.16,4.6656,0
+1.66096727e+012,2.16,4.6656,0
+1.66585247e+012,2.16,4.6656,0
+1.67073766e+012,2.16,4.6656,0
+1.67562286e+012,2.16,4.6656,0
+1.68050806e+012,2.16,4.6656,0
+1.68539326e+012,2.16,4.6656,0
+1.69027846e+012,2.16,4.6656,0
+1.69516365e+012,2.16,4.6656,0
+1.70004885e+012,2.16,4.6656,0
+1.70493405e+012,2.16,4.6656,0
+1.70981925e+012,2.16,4.6656,0
+1.71470445e+012,2.16,4.6656,0
+1.71958964e+012,2.16,4.6656,0
+1.72447484e+012,2.16,4.6656,0
+1.72936004e+012,2.16,4.6656,0
+1.73424524e+012,2.16,4.6656,0
+1.73913043e+012,2.16,4.6656,0
+1.74401563e+012,2.16,4.6656,0
+1.74890083e+012,2.16,4.6656,0
+1.75378603e+012,2.16,4.6656,0
+1.75867123e+012,2.16,4.6656,0
+1.76355642e+012,2.16,4.6656,0
+1.76844162e+012,2.161,4.669921,0
+1.77332682e+012,2.161,4.669921,0
+1.77821202e+012,2.161,4.669921,0
+1.78309722e+012,2.161,4.669921,0
+1.78798241e+012,2.161,4.669921,0
+1.79286761e+012,2.161,4.669921,0
+1.79775281e+012,2.161,4.669921,0
+1.80263801e+012,2.161,4.669921,0
+1.80752320e+012,2.161,4.669921,0
+1.81240840e+012,2.161,4.669921,0
+1.81729360e+012,2.161,4.669921,0
+1.82217880e+012,2.161,4.669921,0
+1.82706400e+012,2.161,4.669921,0
+1.83194919e+012,2.161,4.669921,0
+1.83683439e+012,2.161,4.669921,0
+1.84171959e+012,2.161,4.669921,0
+1.84660479e+012,2.161,4.669921,0
+1.85148999e+012,2.161,4.669921,0
+1.85637518e+012,2.161,4.669921,0
+1.86126038e+012,2.161,4.669921,0
+1.86614558e+012,2.161,4.669921,0
+1.87103078e+012,2.161,4.669921,0
+1.87591597e+012,2.161,4.669921,0
+1.88080117e+012,2.161,4.669921,0
+1.88568637e+012,2.161,4.669921,0
+1.89057157e+012,2.162,4.674244,0
+1.89545677e+012,2.162,4.674244,0
+1.90034196e+012,2.162,4.674244,0
+1.90522716e+012,2.162,4.674244,0
+1.91011236e+012,2.162,4.674244,0
+1.91499756e+012,2.162,4.674244,0
+1.91988276e+012,2.162,4.674244,0
+1.92476795e+012,2.162,4.674244,0
+1.92965315e+012,2.162,4.674244,0
+1.93453835e+012,2.162,4.674244,0
+1.93942355e+012,2.162,4.674244,0
+1.94430874e+012,2.162,4.674244,0
+1.94919394e+012,2.162,4.674244,0
+1.95407914e+012,2.162,4.674244,0
+1.95896434e+012,2.162,4.674244,0
+1.96384954e+012,2.162,4.674244,0
+1.96873473e+012,2.162,4.674244,0
