,step,min_f
0,0,0.0102135
1,1,0.00943493
2,2,0.00943493
3,3,0.00943493
4,4,0.00943493
5,5,0.00943493
6,6,0.00943493
7,7,0.00943493
8,8,0.00479269
9,9,0.00479269
10,10,0.00479269
11,11,0.00479269
12,12,0.00479269
13,13,0.00479269
14,14,0.00479269
15,15,0.00479269
16,16,0.00479269
17,17,0.00366375
18,18,0.00366375
19,19,0.00366375
20,20,0.00366375
21,21,0.00366375
22,22,0.00366375
23,23,0.00366375
24,24,0.00366375
25,25,0.00366375
26,26,0.00366375
27,27,0.00366375
28,28,0.00362211
29,29,0.00362211
30,30,0.00362211
31,31,0.00362211
32,32,0.00362211
33,33,0.00362211
34,34,0.00362211
35,35,0.00362211
36,36,0.00362211
37,37,0.00362211
38,38,0.00362211
39,39,0.00362211
40,40,0.00362211
41,41,0.00362211
42,42,0.00362211
43,43,0.00362211
44,44,0.00362211
45,45,0.00362211
46,46,0.00362211
47,47,0.00362211
48,48,0.00362211
49,49,0.00362211
50,50,0.00362211
51,51,0.00362211
52,52,0.00362211
53,53,0.00352321
54,54,0.00352321
55,55,0.00352321
56,56,0.00352321
57,57,0.00352321
58,58,0.00352321
59,59,0.00352321
60,60,0.00352321
61,61,0.00352321
62,62,0.00352321
63,63,0.00352321
64,64,0.00352321
65,65,0.00352321
66,66,0.00352321
67,67,0.00352321
68,68,0.00352321
69,69,0.00352321
70,70,0.00352321
71,71,0.00352321
72,72,0.00352321
73,73,0.00352321
74,74,0.00352321
75,75,0.00352321
76,76,0.00352321
77,77,0.00352321
78,78,0.00352321
79,79,0.00352321
80,80,0.00352321
81,81,0.00352321
82,82,0.00352321
83,83,0.00352321
84,84,0.00352321
85,85,0.00352321
86,86,0.00352321
87,87,0.00352321
88,88,0.00352321
89,89,0.00352321
90,90,0.00352321
91,91,0.00352321
92,92,0.00352321
93,93,0.00352321
94,94,0.00352321
95,95,0.00352321
96,96,0.00301185
97,97,0.00301185
98,98,0.00301185
99,99,0.00301185
100,100,0.00301185
101,101,0.00301185
102,102,0.00301185
103,103,0.00301185
104,104,0.00301185
105,105,0.00301185
106,106,0.00301185
107,107,0.00301185
108,108,0.00301185
109,109,0.00301185
110,110,0.00301185
111,111,0.00301185
112,112,0.00301185
113,113,0.00301185
114,114,0.00301185
115,115,0.00301185
116,116,0.00301185
117,117,0.00301185
118,118,0.00301185
119,119,0.00301185
120,120,0.00301185
121,121,0.00301185
122,122,0.00301185
123,123,0.00301185
124,124,0.00301185
125,125,0.00301185
126,126,0.00301185
127,127,0.00301185
128,128,0.00301185
129,129,0.00301185
130,130,0.00301185
131,131,0.00301185
132,132,0.00301185
133,133,0.00290954
134,134,0.00290954
135,135,0.00290954
136,136,0.00290954
137,137,0.00290954
138,138,0.00290954
139,139,0.00290954
140,140,0.00290954
141,141,0.00290954
142,142,0.00290954
143,143,0.00290954
144,144,0.00290954
145,145,0.00290954
146,146,0.00290954
147,147,0.00290954
148,148,0.00290954
149,149,0.00290954
150,150,0.00290954
151,151,0.00290954
152,152,0.00290954
153,153,0.00290954
154,154,0.00290954
155,155,0.00290954
156,156,0.00290954
157,157,0.00290954
158,158,0.00290954
159,159,0.00290954
160,160,0.00290954
161,161,0.00290954
162,162,0.00290954
163,163,0.00290954
164,164,0.00290954
165,165,0.00290954
166,166,0.00290954
167,167,0.00290954
168,168,0.00290954
169,169,0.00290954
170,170,0.00290954
171,171,0.00290954
172,172,0.00290954
173,173,0.00290954
174,174,0.00290954
175,175,0.00290954
176,176,0.00290954
177,177,0.00290954
178,178,0.00290954
179,179,0.00290954
180,180,0.00290954
181,181,0.00290954
182,182,0.00290954
183,183,0.00290954
184,184,0.00290954
185,185,0.00290954
186,186,0.00290954
187,187,0.00290954
188,188,0.00290954
189,189,0.00290954
190,190,0.00290954
191,191,0.00290954
192,192,0.00290954
193,193,0.00290954
194,194,0.00290954
195,195,0.00290954
196,196,0.00290954
197,197,0.00290954
198,198,0.00290954
199,199,0.00290954
200,200,0.00290954
