,freqs,delta
0,75000000000.0,1.619920612082724
1,75025000000.0,1.6199197008398272
2,75050000000.0,1.6199178781797674
3,75075000000.0,1.6199151443757707
4,75100000000.0,1.6199114991953412
5,75125000000.0,1.619906942702992
6,75150000000.0,1.6199014749267728
7,75175000000.0,1.6198950958871778
8,75200000000.0,1.6198878053980874
9,75225000000.0,1.6198796036605148
10,75250000000.0,1.6198704904329493
11,75275000000.0,1.6198604659251914
12,75300000000.0,1.6198495301008264
13,75325000000.0,1.6198376826840064
14,75350000000.0,1.6198249239142184
15,75375000000.0,1.6198112536776956
16,75400000000.0,1.6197966719761352
17,75425000000.0,1.619781178790417
18,75450000000.0,1.6197647739375427
19,75475000000.0,1.619747457631415
20,75500000000.0,1.6197292296445653
21,75525000000.0,1.6197100901225026
22,75550000000.0,1.619690038827368
23,75575000000.0,1.6196690759202164
24,75600000000.0,1.6196472011629883
25,75625000000.0,1.6196244147490249
26,75650000000.0,1.6196007164355137
27,75675000000.0,1.6195761063246061
28,75700000000.0,1.6195505842793234
29,75725000000.0,1.6195241502653432
30,75750000000.0,1.6194968041687239
31,75775000000.0,1.6194685460440426
32,75800000000.0,1.6194393758694878
33,75825000000.0,1.6194092936021454
34,75850000000.0,1.6193782990352057
35,75875000000.0,1.6193463922721423
36,75900000000.0,1.619313573115767
37,75925000000.0,1.6192798416121814
38,75950000000.0,1.6192451976792404
39,75975000000.0,1.619209641183236
40,76000000000.0,1.6191731722637521
41,76025000000.0,1.6191357905402983
42,76050000000.0,1.6190974962460998
43,76075000000.0,1.6190582891794536
44,76100000000.0,1.6190181691964691
45,76125000000.0,1.61897713634917
46,76150000000.0,1.6189351905420015
47,76175000000.0,1.618892331638363
48,76200000000.0,1.6188485595989592
49,76225000000.0,1.6188038744198192
50,76250000000.0,1.6187582759446915
51,76275000000.0,1.6187117639987996
52,76300000000.0,1.6186643387518034
53,76325000000.0,1.6186159998801473
54,76350000000.0,1.618566747356384
55,76375000000.0,1.6185165811602478
56,76400000000.0,1.6184655012524563
57,76425000000.0,1.6184135074066466
58,76450000000.0,1.61836059955319
59,76475000000.0,1.6183067776119124
60,76500000000.0,1.6182520416095394
61,76525000000.0,1.6181963913166082
62,76550000000.0,1.6181398266680187
63,76575000000.0,1.6180823475643011
64,76600000000.0,1.6180239538212549
65,76625000000.0,1.6179646455370478
66,76650000000.0,1.6179044224563364
67,76675000000.0,1.6178432844804451
68,76700000000.0,1.6177812315401752
69,76725000000.0,1.617718263622022
70,76750000000.0,1.6176543803941925
71,76775000000.0,1.6175895819247805
72,76800000000.0,1.6175238681271027
73,76825000000.0,1.6174572386782227
74,76850000000.0,1.617389693631484
75,76875000000.0,1.6173212328510658
76,76900000000.0,1.6172518562362141
77,76925000000.0,1.6171815636039069
78,76950000000.0,1.6171103548287613
79,76975000000.0,1.6170382298882684
80,77000000000.0,1.6169651885308172
81,77025000000.0,1.6168912307788494
82,77050000000.0,1.6168163563766065
83,77075000000.0,1.6167405652608393
84,77100000000.0,1.616663857266597
85,77125000000.0,1.6165862323037585
86,77150000000.0,1.6165076902833666
87,77175000000.0,1.6164282308977698
88,77200000000.0,1.6163478541560363
89,77225000000.0,1.616266559935064
90,77250000000.0,1.6161843480414428
91,77275000000.0,1.61610121840817
92,77300000000.0,1.6160171708201705
93,77325000000.0,1.6159322051122373
94,77350000000.0,1.6158463212229541
95,77375000000.0,1.6157595190151763
96,77400000000.0,1.6156717982983322
97,77425000000.0,1.615583158903807
98,77450000000.0,1.615493600714706
99,77475000000.0,1.6154031236821824
100,77500000000.0,1.6153117274707116
101,77525000000.0,1.6152194120420156
102,77550000000.0,1.6151261772321819
103,77575000000.0,1.6150320228646147
104,77600000000.0,1.6149369488959662
105,77625000000.0,1.6148409550445266
106,77650000000.0,1.6147440411945915
107,77675000000.0,1.6146462071299852
108,77700000000.0,1.6145474527954686
109,77725000000.0,1.6144477779880728
110,77750000000.0,1.6143471824817104
111,77775000000.0,1.6142456662791236
112,77800000000.0,1.6141432290287687
113,77825000000.0,1.6140398707799624
114,77850000000.0,1.6139355910836817
115,77875000000.0,1.613830390069261
116,77900000000.0,1.6137242673968553
117,77925000000.0,1.6136172229384724
118,77950000000.0,1.6135092564905984
119,77975000000.0,1.6134003679720306
120,78000000000.0,1.6132905571266045
121,78025000000.0,1.6131798238345507
122,78050000000.0,1.613068167898839
123,78075000000.0,1.612955589158996
124,78100000000.0,1.6128420873691276
125,78125000000.0,1.6127276624497033
126,78150000000.0,1.6126123142453423
127,78175000000.0,1.6124960424596724
128,78200000000.0,1.6123788470970923
129,78225000000.0,1.6122607276599994
130,78250000000.0,1.6121416843035883
131,78275000000.0,1.6120217166953772
132,78300000000.0,1.6119008246869388
133,78325000000.0,1.61177900809961
134,78350000000.0,1.6116562666300478
135,78375000000.0,1.6115326002437533
136,78400000000.0,1.611408008680372
137,78425000000.0,1.6112824917809665
138,78450000000.0,1.6111560494039336
139,78475000000.0,1.611028681326612
140,78500000000.0,1.6109003873193264
141,78525000000.0,1.6107711671868352
142,78550000000.0,1.6106410208454942
143,78575000000.0,1.6105099479509577
144,78600000000.0,1.6103779484517526
145,78625000000.0,1.6102450220995754
146,78650000000.0,1.6101111687118568
147,78675000000.0,1.609976387962897
148,78700000000.0,1.6098406799180898
149,78725000000.0,1.6097040441644594
150,78750000000.0,1.6095664806795553
151,78775000000.0,1.6094279891417274
152,78800000000.0,1.6092885693226695
153,78825000000.0,1.6091482211498869
154,78850000000.0,1.6090069443394888
155,78875000000.0,1.6088647387033468
156,78900000000.0,1.6087216040853847
157,78925000000.0,1.6085775401834774
158,78950000000.0,1.6084325469954683
159,78975000000.0,1.6082866242105958
160,79000000000.0,1.6081397715480028
161,79025000000.0,1.6079919888004794
162,79050000000.0,1.6078432759380457
163,79075000000.0,1.6076936326945674
164,79100000000.0,1.6075430587467485
165,79125000000.0,1.6073915540592696
166,79150000000.0,1.6072391183064358
167,79175000000.0,1.6070857513229535
168,79200000000.0,1.6069314529350218
169,79225000000.0,1.6067762228865847
170,79250000000.0,1.6066200609757215
171,79275000000.0,1.6064629670580601
172,79300000000.0,1.606304940926451
173,79325000000.0,1.6061459822432658
174,79350000000.0,1.6059860909576014
175,79375000000.0,1.6058252667635946
176,79400000000.0,1.6056635095397
177,79425000000.0,1.6055008189434858
178,79450000000.0,1.6053371949602389
179,79475000000.0,1.6051726372882733
