f,freq,alpha
0.361,361000000000,0.02
0.446,446000000000,0.018
0.512,512000000000,0.022
0.57,570000000000,0.025
0.613,613000000000,0.038
0.664,664000000000,0.049
0.722,722000000000,0.058
0.78,780000000000,0.065
0.838,838000000000,0.083
0.889,889000000000,0.092
0.936,936000000000,0.105
0.98,980000000000,0.127
1.024,1024000000000,0.143
1.067,1067000000000,0.163
1.114,1114000000000,0.174
1.165,1165000000000,0.194
1.205,1205000000000,0.21
1.245,1245000000000,0.228
1.292,1292000000000,0.244
1.343,1343000000000,0.261
1.372,1372000000000,0.27
1.412,1412000000000,0.297
1.456,1456000000000,0.317
1.488,1488000000000,0.337
1.525,1525000000000,0.38
1.561,1561000000000,0.402
1.597,1597000000000,0.434
1.644,1644000000000,0.46
1.684,1684000000000,0.48
1.724,1724000000000,0.501
1.768,1768000000000,0.523
1.8,1800000000000,0.545
1.84,1840000000000,0.568
1.866,1866000000000,0.581
1.898,1898000000000,0.603
1.924,1924000000000,0.621
1.951,1951000000000,0.646
