,freq,L
0,297997069000.0,0.00030736745583645345
1,302882267000.0,0.00035249900979045885
2,307767465000.0,0.0003856276353740201
3,312652662000.0,0.0004063136051611783
4,317537860000.0,0.000414979424690919
5,322423058000.0,0.00041265879471804885
6,327308256000.0,0.000400785373920423
7,332193454000.0,0.00038101900018005754
8,337078652000.0,0.00035510651770801453
9,341963850000.0,0.00032477389644229896
10,346849047000.0,0.00029164608873766197
11,351734245000.0,0.0002571909170251121
12,356619443000.0,0.00022268345776923807
13,361504641000.0,0.0001891872783761763
14,366389839000.0,0.00015754933650723022
15,371275037000.0,0.00012840548401225183
16,376160234000.0,0.00010219388349465049
17,381045432000.0,7.917393898007374e-05
18,385930630000.0,5.9448794482855986e-05
19,390815828000.0,4.29896037831789e-05
20,395701026000.0,2.96602843486381e-05
21,400586224000.0,1.9241648591031056e-05
22,405471422000.0,1.145411205579006e-05
23,410356619000.0,5.978408658425191e-06
24,415241817000.0,2.4739384520707686e-06
25,420127015000.0,5.945638886719115e-07
26,425012213000.0,1.7703431955425961e-09
27,429897411000.0,3.7525456171791967e-07
28,434782609000.0,1.4210608379278487e-06
29,439667807000.0,2.8774516718148166e-06
30,444553004000.0,4.518735955431978e-06
31,449438202000.0,6.15730144917013e-06
32,454323400000.0,7.644098895727736e-06
33,459208598000.0,8.867834596957018e-06
34,464093796000.0,9.753105898174637e-06
35,468978994000.0,1.0257705377012129e-05
36,473864191000.0,1.0369298054425645e-05
37,478749389000.0,1.0101655217975734e-05
38,483634587000.0,9.49060691875326e-06
39,488519785000.0,8.58985469416928e-06
40,493404983000.0,7.46676521994127e-06
41,498290181000.0,6.198248017759324e-06
42,503175379000.0,4.8668033476144564e-06
43,508060576000.0,3.5568119149714487e-06
44,512945774000.0,2.3511229840320333e-06
45,517830972000.0,1.3279915405850878e-06
46,522716170000.0,5.58395354140518e-07
47,527601368000.0,1.0376310474396306e-07
48,532486566000.0,1.4130570140754321e-08
49,537371764000.0,3.267359627698892e-07
50,542256961000.0,1.065057604737221e-06
51,547142159000.0,2.2382912471584103e-06
52,552027357000.0,3.8412537687974425e-06
53,556912555000.0,5.854698639998999e-06
54,561797753000.0,8.246016775011532e-06
55,566682951000.0,1.0970292709279048e-05
56,571568149000.0,1.397167906624917e-05
57,576453346000.0,1.7185046067513725e-05
58,581338544000.0,2.053786255134854e-05
59,586223742000.0,2.39522467586604e-05
60,591108940000.0,2.7347145146038825e-05
61,595994138000.0,3.06405724041735e-05
62,600879336000.0,3.3751858729925583e-05
63,605764533000.0,3.660384584181889e-05
64,610649731000.0,3.91249797258942e-05
65,615534929000.0,4.125123934106734e-05
66,620420127000.0,4.292786551127949e-05
67,625305325000.0,4.411083933790232e-05
68,630190523000.0,4.4768079017999116e-05
69,635075721000.0,4.488032736452809e-05
70,639960918000.0,4.444171165953413e-05
71,644846116000.0,4.345996525922387e-05
72,649731314000.0,4.195631184594539e-05
73,654616512000.0,3.9965018580819474e-05
74,659501710000.0,3.753263574851756e-05
75,664386908000.0,3.4716946924965385e-05
76,669272106000.0,3.158566100424313e-05
77,674157303000.0,2.821488400567055e-05
78,679042501000.0,2.4687408342077392e-05
79,683927699000.0,2.1090875420477102e-05
80,688812897000.0,1.7515845070712186e-05
81,693698095000.0,1.405383019554542e-05
82,698583293000.0,1.0795340032121767e-05
83,703468490000.0,7.827978790307153e-06
84,708353688000.0,5.234638656345563e-06
85,713238886000.0,3.0918346061555993e-06
86,718124084000.0,1.4682023584839466e-06
87,723009282000.0,4.231968667010692e-07
88,727894480000.0,6.009628268722513e-09
89,732779678000.0,2.5472130076188157e-07
90,737664875000.0,1.1956989269082003e-06
91,742550073000.0,2.8432426036249543e-06
92,747435271000.0,5.199475866123798e-06
93,752320469000.0,8.254475670095827e-06
94,757205667000.0,1.1986626603889305e-05
95,762090865000.0,1.6363183050108206e-05
96,766976063000.0,2.134101848391108e-05
97,771861260000.0,2.6867537189174114e-05
98,776746458000.0,3.288172982716901e-05
